id,type,amount,date,currency
131,Payment,8509.12,2022-09-04,GBP
132,Purchase,1263.01,2019-11-10,GBP
133,Payment,5112.8,2024-03-14,AUD
134,Refund,8413.37,2021-04-08,EUR
135,Purchase,5191.43,2022-05-16,AUD
136,Refund,9451.35,2021-08-26,USD
137,Refund,7947.42,2022-10-03,JPY
138,Refund,7540.31,2024-01-13,AUD
139,Purchase,1094.78,2021-03-08,USD
140,Purchase,3667.73,2020-06-02,USD
141,Payment,4166.38,2022-08-20,JPY
142,Refund,2389.77,2023-06-11,USD
143,Refund,9437.78,2022-10-08,AUD
144,Sale,8688.74,2020-03-20,AUD
145,Sale,2226.07,2022-05-31,AUD
146,Sale,6517.72,2022-10-11,AUD
147,Payment,3832.7,2023-02-28,USD
148,Refund,1730.47,2020-10-28,GBP
149,Payment,7045.0,2019-09-28,EUR
150,Purchase,7031.87,2024-06-24,GBP
151,Payment,8126.06,2021-10-23,AUD
152,Payment,7504.14,2022-07-30,USD
153,Refund,4381.47,2023-05-16,GBP
154,Payment,1745.57,2020-07-31,AUD
155,Sale,5486.49,2020-03-14,USD
156,Refund,8385.99,2023-10-16,USD
157,Payment,8196.84,2024-03-23,EUR
158,Payment,8384.73,2022-05-13,JPY
159,Refund,2672.0,2022-03-15,JPY
160,Payment,472.33,2020-11-28,USD
161,Refund,3962.97,2023-03-21,GBP
162,Refund,5142.2,2020-06-02,AUD
163,Payment,2819.51,2020-03-24,USD
164,Refund,2044.29,2023-03-15,USD
165,Refund,708.07,2020-04-03,EUR
166,Purchase,3179.87,2023-12-05,AUD
167,Purchase,5623.92,2022-08-17,EUR
168,Refund,1700.64,2020-02-05,GBP
169,Purchase,8842.33,2020-03-03,AUD
170,Payment,7960.23,2022-01-04,JPY
171,Sale,7932.53,2023-02-13,JPY
172,Purchase,2979.8,2020-03-29,GBP
173,Payment,4801.51,2023-12-20,EUR
174,Purchase,992.04,2020-09-28,GBP
175,Purchase,9736.67,2020-11-24,JPY
176,Payment,9785.87,2019-10-23,EUR
177,Sale,7130.61,2024-05-27,EUR
178,Purchase,2248.53,2023-11-15,EUR
179,Sale,7475.39,2024-07-04,USD
180,Payment,5334.19,2020-09-23,EUR
181,Sale,8886.47,2020-08-17,GBP
182,Purchase,6794.27,2019-10-09,EUR
183,Purchase,5400.02,2019-12-11,JPY
184,Sale,2023.71,2024-06-29,JPY
185,Payment,6414.53,2023-12-25,AUD
186,Purchase,4662.11,2020-03-29,JPY
187,Refund,5034.89,2022-01-20,JPY
188,Payment,568.81,2020-10-10,AUD
189,Sale,9433.69,2024-06-13,EUR
190,Sale,197.48,2019-08-31,EUR
191,Payment,3544.98,2023-07-23,EUR
192,Refund,882.37,2022-08-15,USD
193,Payment,9208.76,2019-09-28,GBP
194,Refund,6989.89,2023-07-13,JPY
195,Sale,3612.94,2022-04-17,EUR
196,Refund,7090.83,2020-01-26,JPY
197,Payment,4298.33,2019-12-22,GBP
198,Refund,4671.71,2020-06-03,EUR
199,Purchase,2782.92,2022-05-03,JPY
200,Refund,3768.4,2021-08-13,USD
201,Payment,930.29,2023-06-07,JPY
202,Payment,1848.15,2021-08-08,AUD
203,Refund,4005.61,2023-10-06,AUD
204,Refund,7538.14,2022-04-06,GBP
205,Refund,4991.04,2023-12-04,USD
206,Payment,7793.0,2023-11-17,EUR
207,Refund,3419.72,2023-11-26,JPY
208,Refund,9885.63,2019-09-15,EUR
209,Refund,2795.51,2021-08-15,USD
210,Sale,5623.34,2024-04-03,AUD
211,Purchase,7388.51,2023-07-11,GBP
212,Refund,3094.33,2023-08-06,GBP
213,Payment,4398.07,2020-04-25,EUR
214,Refund,2468.35,2023-07-07,JPY
215,Payment,167.0,2021-06-29,EUR
216,Sale,4648.79,2020-05-14,JPY
217,Payment,8295.96,2024-04-19,USD
218,Refund,9606.96,2023-10-23,EUR
219,Payment,4370.05,2022-01-26,EUR
220,Purchase,9716.6,2023-07-04,USD
221,Refund,5489.26,2021-01-31,EUR
222,Sale,8304.46,2023-01-21,AUD
223,Refund,8655.85,2022-08-16,USD
224,Refund,3739.81,2023-03-25,USD
225,Payment,73.94,2020-09-06,GBP
226,Refund,1627.37,2023-10-23,USD
227,Refund,5692.7,2022-10-05,USD
228,Purchase,1499.08,2022-06-07,JPY
229,Purchase,7127.23,2022-08-28,JPY
230,Payment,4485.62,2023-02-03,GBP
231,Sale,3005.99,2020-07-16,GBP
232,Payment,4969.18,2023-06-06,AUD
233,Payment,6456.38,2020-10-04,JPY
234,Sale,3018.81,2023-09-19,GBP
235,Sale,7307.85,2019-12-31,AUD
236,Sale,733.43,2021-08-14,EUR
237,Payment,283.19,2020-01-12,EUR
238,Purchase,3970.11,2019-08-19,AUD
239,Sale,2534.58,2022-06-27,EUR
240,Refund,433.36,2019-09-11,USD
241,Purchase,8818.61,2024-02-21,JPY
242,Refund,8666.2,2022-04-18,GBP
243,Sale,9079.39,2022-10-02,EUR
244,Payment,6019.11,2021-09-22,JPY
245,Refund,4933.91,2024-05-17,EUR
246,Purchase,7412.71,2021-02-14,AUD
247,Payment,8779.79,2020-11-07,AUD
248,Purchase,9065.68,2020-04-16,EUR
249,Purchase,145.41,2020-04-27,JPY
250,Payment,6951.01,2022-12-24,EUR
251,Refund,6629.06,2022-01-27,USD
252,Purchase,2181.8,2021-08-30,JPY
253,Purchase,8090.16,2022-10-01,USD
254,Refund,9083.71,2020-04-13,EUR
255,Purchase,2086.73,2020-02-09,JPY
256,Purchase,1709.34,2021-10-02,GBP
257,Purchase,1384.84,2024-05-17,AUD
258,Purchase,9918.76,2023-07-26,GBP
259,Refund,994.66,2020-09-06,JPY
260,Payment,1355.36,2024-07-11,JPY
261,Payment,865.25,2020-04-27,AUD
262,Purchase,4403.3,2020-09-18,USD
263,Payment,7401.34,2022-03-18,JPY
264,Sale,1217.1,2022-12-24,GBP
265,Purchase,6662.95,2021-06-03,EUR
266,Payment,8553.06,2020-10-23,USD
267,Refund,1987.77,2023-10-06,JPY
268,Payment,4655.24,2024-03-22,EUR
269,Payment,3966.42,2023-07-19,EUR
270,Refund,9282.88,2021-09-30,EUR
271,Sale,5122.11,2021-02-21,AUD
272,Refund,2496.88,2021-05-17,GBP
273,Sale,5973.41,2023-10-05,AUD
274,Payment,3664.64,2020-08-23,AUD
275,Refund,5864.03,2023-07-03,AUD
276,Sale,4003.39,2020-01-12,AUD
277,Sale,308.82,2023-03-07,USD
278,Payment,5096.26,2021-10-31,GBP
279,Payment,9919.47,2022-11-13,AUD
280,Payment,5509.08,2020-09-03,EUR
281,Refund,5985.59,2020-01-03,GBP
282,Sale,569.0,2021-07-27,AUD
283,Sale,1339.65,2023-08-29,GBP
284,Sale,813.8,2023-07-17,USD
285,Purchase,2132.88,2021-09-03,JPY
286,Payment,3513.96,2024-03-15,AUD
287,Purchase,8916.06,2023-07-17,EUR
288,Purchase,7088.89,2022-07-10,EUR
289,Payment,1457.68,2019-11-23,EUR
290,Sale,4396.54,2023-10-15,AUD
291,Sale,6384.68,2019-10-28,AUD
292,Sale,6896.98,2021-04-19,JPY
293,Purchase,2332.1,2023-02-16,USD
294,Purchase,343.97,2022-07-22,EUR
295,Purchase,1970.82,2021-10-18,AUD
296,Purchase,9360.7,2022-11-10,EUR
297,Purchase,2381.37,2024-04-04,EUR
298,Refund,2538.68,2024-07-09,USD
299,Payment,2978.47,2023-11-13,USD
300,Sale,2688.21,2021-09-01,EUR
301,Payment,9789.51,2022-12-19,GBP
302,Sale,2888.68,2022-08-22,AUD
303,Refund,3862.73,2020-08-03,JPY
304,Refund,9726.51,2020-03-27,AUD
305,Purchase,3590.36,2021-10-01,EUR
306,Purchase,5137.92,2021-11-08,AUD
307,Payment,3096.79,2021-01-13,USD
308,Payment,6891.79,2021-08-26,GBP
309,Payment,7903.92,2022-10-25,AUD
310,Sale,9783.26,2021-04-14,JPY
311,Purchase,4858.95,2021-04-30,AUD
312,Purchase,2373.81,2021-07-21,AUD
313,Sale,3591.17,2022-01-31,USD
314,Purchase,1592.41,2023-02-20,EUR
315,Purchase,9325.95,2020-07-04,AUD
316,Refund,523.96,2021-11-11,USD
317,Purchase,5049.23,2022-06-10,EUR
318,Refund,6776.49,2022-02-02,EUR
319,Sale,6710.62,2020-03-21,GBP
320,Payment,507.52,2020-07-03,GBP
321,Sale,7758.91,2020-06-02,AUD
322,Refund,8402.7,2023-10-05,JPY
323,Purchase,1791.36,2021-03-08,JPY
324,Refund,2308.66,2022-11-14,AUD
325,Sale,3514.74,2020-10-01,GBP
326,Payment,2077.17,2022-09-13,AUD
327,Refund,2247.37,2021-08-05,JPY
328,Sale,6834.7,2020-04-04,USD
329,Refund,548.66,2022-03-03,USD
330,Payment,7242.72,2024-04-25,EUR
331,Payment,1718.79,2023-09-19,GBP
332,Refund,4952.05,2021-12-23,JPY
333,Sale,2106.25,2020-12-25,USD
334,Payment,2232.11,2023-07-25,EUR
335,Refund,9562.73,2020-11-06,JPY
336,Payment,8854.63,2021-08-29,USD
337,Sale,1114.22,2023-04-04,GBP
338,Refund,4230.54,2022-06-21,JPY
339,Purchase,4950.13,2024-04-24,JPY
340,Refund,1598.01,2023-10-31,AUD
341,Purchase,6028.07,2023-10-24,JPY
342,Purchase,6373.6,2021-10-18,EUR
343,Payment,6616.37,2024-01-14,GBP
344,Purchase,5315.8,2023-11-29,GBP
345,Purchase,8798.02,2024-03-23,EUR
346,Payment,6534.74,2021-12-13,JPY
347,Purchase,1839.77,2023-03-27,USD
348,Payment,1503.94,2019-10-21,EUR
349,Payment,2273.83,2020-05-04,AUD
350,Payment,2607.33,2020-05-15,JPY
351,Sale,8044.06,2023-12-31,JPY
352,Sale,4835.72,2022-01-02,GBP
353,Refund,7104.83,2021-06-07,EUR
354,Sale,1137.37,2021-09-19,GBP
355,Refund,575.39,2020-01-04,JPY
356,Sale,1588.44,2021-01-07,JPY
357,Payment,5303.44,2021-01-24,GBP
358,Purchase,8413.84,2024-02-24,EUR
359,Purchase,5758.56,2023-08-26,GBP
360,Sale,870.78,2021-05-14,GBP
361,Refund,1965.52,2021-07-20,AUD
362,Purchase,7906.06,2020-09-19,GBP
363,Sale,1840.53,2022-03-25,EUR
364,Payment,2882.8,2022-04-27,USD
365,Sale,6836.54,2021-06-16,AUD
366,Refund,8980.19,2021-09-06,USD
367,Sale,7775.73,2022-08-21,USD
368,Sale,5873.59,2023-05-06,USD
369,Refund,5016.86,2022-10-18,AUD
370,Purchase,9040.52,2023-08-08,EUR
371,Sale,6668.64,2019-08-20,AUD
372,Purchase,7159.82,2020-12-19,USD
373,Payment,1439.64,2023-02-24,USD
374,Refund,549.0,2021-09-06,JPY
375,Purchase,7564.18,2023-07-02,JPY
376,Refund,9189.99,2022-02-04,USD
377,Refund,7143.06,2022-04-04,USD
378,Purchase,3864.13,2020-05-03,JPY
379,Payment,8196.47,2022-06-13,USD
380,Sale,338.94,2021-10-31,AUD
381,Purchase,3396.36,2019-10-03,GBP
382,Sale,914.99,2023-12-29,JPY
383,Purchase,1305.45,2021-03-17,JPY
384,Purchase,6407.73,2021-06-09,AUD
385,Payment,7731.68,2019-10-13,JPY
386,Sale,8303.07,2023-12-22,GBP
387,Refund,1644.26,2023-12-23,GBP
388,Sale,2061.23,2019-09-06,JPY
389,Sale,1841.72,2023-03-21,USD
390,Sale,6610.89,2020-10-14,AUD
391,Sale,5787.17,2022-11-13,AUD
392,Purchase,418.91,2021-03-11,GBP
393,Payment,2075.14,2023-11-14,AUD
394,Purchase,7449.82,2020-10-14,JPY
395,Purchase,2476.63,2020-05-06,JPY
396,Purchase,1226.88,2023-03-17,GBP
397,Purchase,5404.62,2023-11-17,AUD
398,Purchase,5796.32,2023-10-21,GBP
399,Purchase,3780.66,2024-02-25,GBP
400,Sale,4712.63,2023-07-11,JPY
401,Refund,3352.7,2021-03-30,AUD
402,Purchase,8214.72,2023-03-01,USD
403,Sale,3044.91,2020-08-06,USD
404,Sale,9590.53,2020-05-07,USD
405,Sale,3263.6,2019-08-26,EUR
406,Payment,9362.31,2019-10-14,USD
407,Payment,3772.77,2022-03-30,AUD
408,Sale,4495.71,2022-04-07,AUD
409,Sale,4038.13,2019-12-21,EUR
410,Payment,3175.38,2023-08-07,GBP
411,Purchase,1336.97,2022-09-05,JPY
412,Purchase,6910.86,2022-02-07,EUR
413,Purchase,8344.79,2022-11-24,USD
414,Sale,4884.38,2022-07-25,EUR
415,Payment,4620.2,2020-11-05,JPY
416,Purchase,9954.61,2024-03-28,EUR
417,Refund,6641.96,2022-01-19,EUR
418,Purchase,8773.9,2021-01-23,AUD
419,Refund,8873.5,2021-10-10,AUD
420,Sale,4690.64,2024-03-11,USD
421,Refund,1265.3,2021-11-29,GBP
422,Purchase,3233.32,2022-10-06,AUD
423,Refund,7843.78,2023-01-10,AUD
424,Sale,8780.84,2023-07-08,USD
425,Sale,4746.61,2022-05-19,GBP
426,Refund,4271.86,2020-01-11,GBP
427,Purchase,1490.07,2020-01-23,USD
428,Payment,4550.33,2021-06-25,JPY
429,Payment,8186.28,2023-08-21,AUD
430,Purchase,2440.86,2022-12-13,GBP
431,Payment,2492.9,2019-08-21,AUD
432,Refund,2567.52,2020-08-14,EUR
433,Sale,8284.64,2023-06-02,USD
434,Refund,5719.52,2023-06-17,JPY
435,Refund,5190.98,2021-07-02,EUR
436,Refund,2580.39,2020-07-21,USD
437,Refund,7683.44,2023-11-08,AUD
438,Sale,9512.08,2020-10-02,EUR
439,Sale,3472.42,2019-09-10,JPY
440,Refund,5328.28,2020-05-12,USD
441,Sale,2827.46,2023-01-09,GBP
442,Payment,1053.53,2023-09-29,JPY
443,Purchase,8517.47,2020-06-03,GBP
444,Sale,409.91,2023-03-16,EUR
445,Payment,9092.32,2021-10-16,USD
446,Payment,1259.21,2023-03-25,USD
447,Refund,7140.4,2023-08-24,AUD
448,Refund,1759.63,2020-11-04,JPY
449,Refund,4121.25,2021-03-11,USD
450,Purchase,70.33,2019-12-16,JPY
451,Purchase,1517.82,2021-06-23,USD
452,Refund,7637.24,2024-06-02,GBP
453,Refund,4192.98,2021-01-10,USD
454,Payment,3660.81,2022-05-14,EUR
455,Payment,9837.69,2020-01-20,USD
456,Sale,1496.86,2020-09-14,AUD
457,Payment,2340.17,2024-07-21,AUD
458,Payment,3994.65,2022-06-05,EUR
459,Purchase,4826.63,2020-04-27,USD
460,Payment,8400.36,2024-03-26,JPY
461,Refund,4266.35,2019-09-01,USD
462,Payment,2235.17,2021-09-16,GBP
463,Sale,6214.52,2019-11-22,JPY
464,Refund,3196.57,2023-07-05,EUR
465,Sale,2089.95,2022-08-01,USD
466,Payment,3827.18,2020-12-05,EUR
467,Sale,6098.48,2021-02-17,USD
468,Sale,8377.8,2020-10-12,AUD
469,Payment,3167.25,2020-08-06,JPY
470,Sale,120.61,2020-03-20,GBP
471,Sale,3821.88,2021-12-22,JPY
472,Refund,3644.71,2021-02-10,USD
473,Purchase,9438.53,2020-07-08,EUR
474,Sale,4602.98,2023-05-29,USD
475,Refund,6794.92,2021-11-18,EUR
476,Payment,9493.22,2023-07-09,GBP
477,Purchase,9415.96,2021-04-29,EUR
478,Payment,8581.85,2020-02-04,USD
479,Payment,8063.31,2019-09-06,GBP
480,Payment,901.92,2021-08-25,USD
481,Refund,1461.75,2022-09-21,AUD
482,Purchase,8308.42,2021-07-18,GBP
483,Payment,5130.81,2022-05-20,USD
484,Payment,4228.76,2022-09-19,EUR
485,Refund,3990.5,2020-07-09,EUR
486,Payment,7935.89,2020-02-20,GBP
487,Refund,5188.81,2019-08-02,EUR
488,Sale,1868.44,2022-08-24,GBP
489,Purchase,5653.14,2019-08-13,JPY
490,Sale,9706.5,2021-01-19,GBP
491,Refund,5119.88,2023-08-03,EUR
492,Sale,8444.41,2019-08-30,EUR
493,Payment,1406.92,2020-01-07,GBP
494,Payment,6208.97,2022-04-14,GBP
495,Purchase,719.87,2019-08-08,AUD
496,Purchase,2485.39,2024-07-30,GBP
497,Payment,9062.85,2023-12-11,JPY
498,Purchase,4492.53,2020-05-08,EUR
499,Sale,9620.53,2020-06-07,GBP
500,Purchase,148.58,2024-03-28,GBP
501,Purchase,196.89,2022-03-12,USD
502,Payment,1627.05,2024-07-24,JPY
503,Payment,6985.49,2024-04-21,USD
504,Payment,2478.78,2023-10-18,JPY
505,Sale,7639.48,2023-09-03,GBP
506,Sale,240.28,2021-08-27,USD
507,Sale,1594.13,2023-05-12,EUR
508,Purchase,1823.61,2022-10-29,JPY
509,Purchase,9355.92,2020-09-07,EUR
510,Sale,6335.2,2021-03-08,EUR
511,Payment,506.28,2019-08-13,USD
512,Refund,1538.85,2021-04-19,GBP
513,Payment,7821.56,2019-08-30,JPY
514,Refund,9162.24,2022-07-03,AUD
515,Purchase,1720.29,2021-08-19,JPY
516,Refund,3269.49,2024-07-24,AUD
517,Payment,2240.22,2021-06-22,USD
518,Purchase,2458.72,2024-02-08,USD
519,Sale,4854.63,2022-06-19,EUR
520,Refund,7774.28,2022-07-09,JPY
521,Purchase,888.32,2022-03-23,USD
522,Purchase,2777.25,2024-03-10,AUD
523,Refund,4432.24,2024-06-22,AUD
524,Sale,5036.98,2023-10-28,EUR
525,Refund,6451.57,2022-06-14,GBP
526,Sale,5196.34,2024-06-22,GBP
527,Payment,1194.98,2019-08-04,USD
528,Purchase,4101.2,2022-07-11,GBP
529,Purchase,2515.1,2021-05-27,AUD
530,Sale,6226.94,2019-09-30,AUD
531,Refund,8067.09,2021-09-20,USD
532,Purchase,8453.13,2023-10-05,EUR
533,Sale,8784.31,2022-09-16,EUR
534,Payment,8018.16,2024-06-28,EUR
535,Payment,9906.75,2023-06-04,EUR
536,Refund,6632.4,2022-03-31,GBP
537,Refund,2597.23,2023-05-01,GBP
538,Purchase,5040.72,2021-07-10,GBP
539,Refund,6301.49,2019-12-04,GBP
540,Payment,5036.1,2020-02-14,EUR
541,Purchase,2962.83,2023-06-23,USD
542,Payment,1392.4,2021-08-25,AUD
543,Purchase,8636.64,2023-10-30,USD
544,Refund,2311.47,2019-08-06,AUD
545,Sale,9332.73,2021-07-11,USD
546,Payment,5098.93,2023-01-20,GBP
547,Purchase,7205.94,2020-03-04,AUD
548,Sale,4057.7,2023-03-12,EUR
549,Purchase,2901.97,2019-11-10,GBP
550,Payment,455.2,2023-01-04,EUR
551,Payment,1905.06,2023-02-13,EUR
552,Sale,8530.09,2021-01-31,USD
553,Purchase,4697.09,2019-11-13,GBP
554,Sale,4620.17,2021-09-21,JPY
555,Payment,9109.81,2024-01-06,JPY
556,Refund,4492.49,2020-05-16,JPY
557,Purchase,8063.9,2022-03-26,JPY
558,Purchase,7047.4,2024-05-24,AUD
559,Sale,2178.32,2021-11-04,GBP
560,Refund,8953.18,2020-09-23,EUR
561,Sale,8992.36,2023-02-13,EUR
562,Payment,1157.63,2022-11-12,AUD
563,Refund,62.23,2021-06-18,EUR
564,Purchase,1240.69,2023-10-14,EUR
565,Refund,3165.33,2021-06-19,GBP
566,Purchase,1233.88,2019-11-09,EUR
567,Purchase,4823.74,2020-06-12,AUD
568,Payment,5692.11,2021-05-25,AUD
569,Payment,8089.84,2023-10-08,JPY
570,Sale,481.2,2022-10-10,EUR
571,Sale,67.84,2022-01-05,AUD
572,Payment,8478.46,2021-12-19,GBP
573,Purchase,7920.18,2022-02-22,EUR
574,Purchase,7266.12,2022-05-21,JPY
575,Purchase,3638.59,2021-06-16,JPY
576,Purchase,9998.32,2021-02-24,USD
577,Purchase,3948.74,2022-02-21,USD
578,Purchase,9769.34,2022-01-17,AUD
579,Refund,6064.9,2020-04-17,JPY
580,Refund,8745.39,2021-08-03,EUR
581,Payment,6967.43,2019-11-25,GBP
582,Payment,3445.23,2020-07-21,EUR
583,Payment,9965.99,2024-07-09,GBP
584,Payment,5128.75,2021-11-25,EUR
585,Payment,8561.67,2022-03-17,AUD
586,Refund,1848.34,2023-06-30,JPY
587,Refund,8129.29,2023-01-28,JPY
588,Sale,4921.91,2020-07-12,JPY
589,Sale,9259.02,2024-06-19,EUR
590,Sale,750.43,2021-03-09,AUD
591,Payment,6106.02,2024-06-14,EUR
592,Refund,8533.25,2019-09-19,AUD
593,Purchase,8113.68,2019-10-21,AUD
594,Sale,2816.2,2021-03-04,EUR
595,Sale,7661.74,2021-08-25,EUR
596,Purchase,6540.36,2019-07-31,AUD
597,Refund,3645.96,2023-08-14,GBP
598,Refund,2319.85,2024-07-29,GBP
599,Purchase,2603.12,2024-05-17,JPY
600,Payment,8212.71,2024-06-15,EUR
601,Purchase,5798.09,2019-09-07,AUD
602,Purchase,4711.97,2024-07-11,EUR
603,Sale,3707.7,2021-10-04,JPY
604,Purchase,177.11,2022-02-25,EUR
605,Refund,6380.35,2022-06-28,JPY
606,Sale,3683.63,2020-09-07,USD
607,Sale,8951.76,2023-05-16,EUR
608,Sale,6993.75,2023-10-02,AUD
609,Payment,3835.74,2021-07-01,USD
610,Payment,2989.29,2024-02-14,EUR
611,Refund,5495.87,2019-09-23,AUD
612,Payment,2794.96,2020-03-04,AUD
613,Sale,5385.48,2022-11-21,AUD
614,Refund,2791.08,2022-04-28,AUD
615,Sale,5780.95,2020-01-05,JPY
616,Payment,8778.87,2020-01-10,JPY
617,Purchase,7324.23,2023-09-09,GBP
618,Payment,440.11,2021-07-12,JPY
619,Refund,9396.81,2023-09-24,GBP
620,Refund,194.11,2020-10-22,USD
621,Refund,5700.44,2021-11-10,EUR
622,Payment,8561.29,2019-08-08,GBP
623,Sale,8722.29,2022-11-04,USD
624,Sale,3714.09,2023-06-26,EUR
625,Payment,9072.24,2022-03-30,AUD
626,Payment,9349.67,2021-10-27,EUR
627,Purchase,9091.21,2020-09-16,JPY
628,Refund,5133.43,2020-11-13,JPY
629,Payment,1638.53,2023-08-26,USD
630,Payment,8849.17,2020-07-30,GBP
631,Sale,3096.67,2022-09-12,AUD
632,Refund,3639.57,2022-06-06,EUR
633,Sale,8553.89,2021-01-25,AUD
634,Sale,1511.06,2020-08-29,AUD
635,Refund,9684.76,2022-03-03,GBP
636,Refund,8614.72,2020-06-07,EUR
