id,name,address,legal_form,registration_details,financial_data,administrators,shareholders,ubo,transactions,kyc_aml_checks
11,"Martinez, Carey and Parks","Unit 9465 Box 3551
DPO AA 15146",S.n.C.,180-59-3783,"[{""year"": 2015, ""revenue"": 911097.39, ""profit"": 363121.07}, {""year"": 2021, ""revenue"": 691997.75, ""profit"": 260792.09}, {""year"": 2023, ""revenue"": 142721.76, ""profit"": 348704.52}]","[55, 35]","[45, 94]",[472],"[4165, 9522, 17803]","[4454, 3154, 1903]"
12,"Delgado, Nguyen and Wright","3044 Laura Stravenue
Averyhaven, ME 97841",S.p.A.,313-57-2878,"[{""year"": 2023, ""revenue"": 617501.64, ""profit"": 417114.23}, {""year"": 2023, ""revenue"": 58384.57, ""profit"": 244457.47}, {""year"": 2019, ""revenue"": 806839.96, ""profit"": 487044.45}, {""year"": 2017, ""revenue"": 80235.7, ""profit"": 412922.88}]","[36, 29]","[80, 36, 62, 100, 99]","[939, 452]","[7561, 16696]","[4327, 2679]"
13,"Lynch, Park and Schneider","457 Escobar Trace
New Sabrinamouth, WI 17147",S.a.S.,314-28-2664,"[{""year"": 2016, ""revenue"": 60080.27, ""profit"": 319167.07}, {""year"": 2023, ""revenue"": 242925.6, ""profit"": 259714.08}, {""year"": 2015, ""revenue"": 746204.72, ""profit"": 175513.54}, {""year"": 2021, ""revenue"": 155864.64, ""profit"": 67860.22}]","[38, 76]","[71, 56, 92, 76, 79, 29, 78, 90, 51]","[244, 425, 326]","[8073, 10203, 5841, 13732, 9012]",[2620]
14,"Anderson, Charles and Hayes","8615 Rivera Mount Suite 330
Virginiabury, VA 00929",S.p.A.,289-43-0659,"[{""year"": 2019, ""revenue"": 621311.18, ""profit"": 425128.5}]","[62, 66, 97]","[5, 12, 59, 36, 83, 6, 64, 69]",[251],[12409],[643]
15,"Obrien, Sanford and Casey","54296 Cooper Ports Suite 427
Brianstad, NJ 79703",S.r.l. a socio unico,004-71-3591,"[{""year"": 2015, ""revenue"": 817733.58, ""profit"": 367178.1}, {""year"": 2016, ""revenue"": 862663.33, ""profit"": 333862.12}, {""year"": 2021, ""revenue"": 223832.11, ""profit"": 459220.93}, {""year"": 2021, ""revenue"": 498767.69, ""profit"": 171502.23}]",[44],"[80, 40, 29, 89, 2, 72, 19, 66, 45]",[21],[6407],"[3001, 4752]"
16,"Cain, Reyes and George","5981 Erin Roads
Port Kellychester, VT 04718",S.a.S.,556-18-0303,"[{""year"": 2016, ""revenue"": 669149.18, ""profit"": 19006.58}, {""year"": 2017, ""revenue"": 538861.01, ""profit"": 71947.04}, {""year"": 2021, ""revenue"": 928167.38, ""profit"": 144421.45}, {""year"": 2021, ""revenue"": 397588.92, ""profit"": 277058.22}, {""year"": 2021, ""revenue"": 896186.49, ""profit"": 53368.67}]","[95, 3, 98]","[48, 81, 89, 80, 65, 63]","[825, 990, 421]","[10884, 8205]","[4748, 1167, 199]"
17,Nelson-Morrison,"720 Hansen Square Suite 492
Lake Codyport, TX 80450",Cooperative,164-92-1958,"[{""year"": 2023, ""revenue"": 742221.91, ""profit"": 139773.27}, {""year"": 2022, ""revenue"": 597300.15, ""profit"": 10754.24}]",[92],"[45, 21]","[942, 699]","[17721, 7733, 13063, 19414, 19270]","[3753, 784, 2081]"
18,Anderson Group,"054 Robert Spurs Apt. 334
North Jamesside, OK 59548",Onlus,317-09-3468,"[{""year"": 2015, ""revenue"": 427987.53, ""profit"": 151717.91}, {""year"": 2019, ""revenue"": 259044.08, ""profit"": 127420.35}, {""year"": 2018, ""revenue"": 669322.68, ""profit"": 328937.01}]","[21, 74, 66]","[99, 13]","[168, 801]","[5038, 8303, 19897, 16732, 5136]","[2994, 602]"
19,Mcdonald Group,"1976 Henry Estate
West Sylvia, DC 06464",Onlus,809-33-5388,"[{""year"": 2020, ""revenue"": 263978.69, ""profit"": 399376.77}, {""year"": 2022, ""revenue"": 75159.0, ""profit"": 150924.32}]","[33, 71]",[23],"[560, 346, 540]","[1541, 3501, 3443, 15789]","[699, 2191, 4312]"
20,"Gomez, Johnson and Frank","68783 Cook Motorway Apt. 835
Leetown, AR 36731",S.p.A.,363-14-8933,"[{""year"": 2015, ""revenue"": 750646.71, ""profit"": 114679.62}, {""year"": 2020, ""revenue"": 410044.71, ""profit"": 317116.16}, {""year"": 2017, ""revenue"": 524474.34, ""profit"": 184674.49}, {""year"": 2022, ""revenue"": 123661.57, ""profit"": 111958.27}]","[85, 42, 41]","[59, 85, 2, 4]",[636],"[10157, 18231, 4594]","[753, 333]"
21,Boone PLC,"9073 Thompson Harbor
Port Anitatown, PW 36587",Onlus,590-13-4768,"[{""year"": 2021, ""revenue"": 681307.37, ""profit"": 375902.8}]",[21],"[60, 2, 44]","[159, 77]",[9353],"[1764, 3290]"
22,"Ryan, Mendez and Webb","68822 Brown Glens Apt. 870
Dwayneborough, MP 47305",S.p.A.,647-08-3579,"[{""year"": 2018, ""revenue"": 891111.27, ""profit"": 75970.33}]",[30],[2],"[83, 398]","[11567, 6815, 14863, 3596]","[4474, 3000, 4264]"
23,Vega Inc,"50639 Sarah Mission Suite 524
Port Stephenshire, OR 20314",Cooperative,599-68-3073,"[{""year"": 2015, ""revenue"": 174681.79, ""profit"": 452000.16}, {""year"": 2019, ""revenue"": 873568.37, ""profit"": 278347.34}, {""year"": 2022, ""revenue"": 989295.29, ""profit"": 33671.37}, {""year"": 2020, ""revenue"": 223620.21, ""profit"": 176130.71}, {""year"": 2021, ""revenue"": 838470.05, ""profit"": 62295.14}]",[56],"[86, 99, 31, 70, 55, 20, 36, 8]","[496, 635]",[9346],[126]
24,"Baker, Carter and Johnson","582 Perez Road Suite 314
Port John, GU 07954",S.a.S.,618-39-2369,"[{""year"": 2015, ""revenue"": 21401.56, ""profit"": 488173.2}]","[39, 81, 62]","[67, 24, 90, 42, 66, 99, 46, 13]",[676],[1094],"[1527, 2957]"
25,"Murphy, Edwards and Jones","9781 Parsons Drive Suite 067
Port Glennton, AL 48480",S.r.l. a socio unico,027-60-4143,"[{""year"": 2017, ""revenue"": 530831.38, ""profit"": 265886.69}, {""year"": 2019, ""revenue"": 913539.08, ""profit"": 362072.04}]","[22, 12]",[89],"[978, 908]","[125, 10285]","[2186, 1031]"
26,"Espinoza, James and Ayala","488 Bryant Field
East Jodiburgh, PW 40370",Cooperative,874-06-2980,"[{""year"": 2020, ""revenue"": 440589.25, ""profit"": 329728.86}, {""year"": 2021, ""revenue"": 565403.4, ""profit"": 385994.19}, {""year"": 2016, ""revenue"": 897553.93, ""profit"": 492679.09}, {""year"": 2015, ""revenue"": 254358.35, ""profit"": 169317.4}, {""year"": 2019, ""revenue"": 86516.22, ""profit"": 116528.86}]","[15, 71]","[67, 80, 9, 32]",[676],[19633],"[784, 4219, 4593]"
27,Kirby PLC,"66001 Richardson Stravenue Suite 043
Daniellehaven, NV 80421",S.p.A.,382-30-0314,"[{""year"": 2020, ""revenue"": 583913.36, ""profit"": 188118.2}, {""year"": 2020, ""revenue"": 326042.19, ""profit"": 358514.25}]","[88, 49, 92]","[25, 8, 32, 83, 75, 65, 38]",[761],[14370],"[3363, 4198]"
28,Schroeder Ltd,"Unit 1604 Box 4403
DPO AA 93619",S.a.S.,327-91-0875,"[{""year"": 2015, ""revenue"": 817913.59, ""profit"": 484050.28}, {""year"": 2017, ""revenue"": 183084.31, ""profit"": 473553.91}, {""year"": 2017, ""revenue"": 457077.37, ""profit"": 182385.62}, {""year"": 2019, ""revenue"": 127054.0, ""profit"": 485153.98}, {""year"": 2017, ""revenue"": 727759.74, ""profit"": 459794.68}]",[94],[64],"[67, 992]","[734, 17894]","[4434, 4210, 2157]"
29,"Mack, Stevens and Wallace","68920 Sharon Underpass Suite 994
Rosefurt, OK 47462",S.r.l.,547-83-7103,"[{""year"": 2021, ""revenue"": 448082.73, ""profit"": 52302.97}]",[78],"[72, 100, 99, 71, 92, 11, 5, 70, 61, 94]","[150, 259]","[19911, 18679]",[4625]
30,"Barnes, Love and Schwartz","5277 Mcmillan Extension Apt. 934
Brooksberg, PW 95549",S.a.S.,206-78-5204,"[{""year"": 2019, ""revenue"": 581415.9, ""profit"": 124949.77}, {""year"": 2023, ""revenue"": 532390.31, ""profit"": 120094.25}, {""year"": 2017, ""revenue"": 536660.72, ""profit"": 119038.39}, {""year"": 2016, ""revenue"": 995021.37, ""profit"": 42062.47}]","[58, 33, 93]",[68],[477],"[19599, 10657, 19670, 13028, 4763]","[4502, 4010]"
31,Robinson and Sons,"354 Brown Crossing
East Paul, WA 69289",S.n.C.,333-99-5950,"[{""year"": 2019, ""revenue"": 885646.28, ""profit"": 64315.62}, {""year"": 2017, ""revenue"": 293217.94, ""profit"": 173906.34}, {""year"": 2022, ""revenue"": 318026.62, ""profit"": 313112.25}]",[95],"[56, 94, 1, 70, 78, 68, 86, 79]",[466],"[2425, 3796]",[2232]
32,Torres-Thomas,"62395 Christensen Groves
Wilsonbury, HI 44112",S.n.C.,599-13-2527,"[{""year"": 2018, ""revenue"": 605482.4, ""profit"": 5084.94}, {""year"": 2021, ""revenue"": 202671.81, ""profit"": 122127.82}, {""year"": 2020, ""revenue"": 516731.92, ""profit"": 490571.4}, {""year"": 2017, ""revenue"": 235911.52, ""profit"": 148145.32}]","[63, 68, 78]","[96, 70, 66, 21, 91]",[831],"[6175, 18237, 5360, 8729]","[4571, 4112]"
33,Davis and Sons,"4246 Moore Land Suite 809
Kristenview, AK 12434",S.n.C.,371-80-0985,"[{""year"": 2017, ""revenue"": 594917.13, ""profit"": 235438.94}, {""year"": 2020, ""revenue"": 832829.85, ""profit"": 196468.55}, {""year"": 2023, ""revenue"": 792433.52, ""profit"": 29544.43}, {""year"": 2018, ""revenue"": 200986.59, ""profit"": 243192.72}, {""year"": 2015, ""revenue"": 938779.45, ""profit"": 357338.26}]",[94],"[25, 89, 5, 82]","[443, 577]",[14861],"[867, 779, 4311]"
34,Gomez Ltd,"PSC 1809, Box 7098
APO AP 86045",S.p.A.,110-45-9674,"[{""year"": 2020, ""revenue"": 989754.38, ""profit"": 378251.65}, {""year"": 2019, ""revenue"": 465091.11, ""profit"": 120047.85}, {""year"": 2020, ""revenue"": 721766.35, ""profit"": 127343.84}, {""year"": 2023, ""revenue"": 201353.3, ""profit"": 417460.54}]",[48],"[69, 68, 56, 70, 57, 19]","[855, 203, 549]","[11378, 4314, 17989, 15931]","[4443, 2771, 4152]"
35,"Cunningham, Robles and Costa","20950 Christine Courts Apt. 631
North Adam, CT 79911",S.a.S.,607-53-7610,"[{""year"": 2017, ""revenue"": 499096.89, ""profit"": 267390.59}, {""year"": 2018, ""revenue"": 693028.77, ""profit"": 364862.36}, {""year"": 2015, ""revenue"": 245497.15, ""profit"": 382940.13}, {""year"": 2017, ""revenue"": 130603.78, ""profit"": 138381.75}, {""year"": 2023, ""revenue"": 726502.78, ""profit"": 455792.47}]","[37, 8, 90]",[92],"[911, 738, 435]","[13792, 7332, 19690, 14534]","[1167, 3081, 1427]"
36,Mcintosh-Green,"170 Hart Harbors
South Sharonland, CA 53636",S.p.A.,250-76-2075,"[{""year"": 2018, ""revenue"": 509894.9, ""profit"": 214595.0}]","[100, 48, 84]","[70, 17, 82]","[183, 250]","[16216, 14172, 13191]",[1320]
37,Morales and Sons,"8667 Bruce Parkways Suite 626
Port Shannonport, MH 28688",S.p.A.,701-19-5702,"[{""year"": 2020, ""revenue"": 250407.34, ""profit"": 33920.9}, {""year"": 2022, ""revenue"": 755639.18, ""profit"": 152213.12}, {""year"": 2018, ""revenue"": 135485.15, ""profit"": 11736.24}, {""year"": 2023, ""revenue"": 137644.06, ""profit"": 50735.13}, {""year"": 2023, ""revenue"": 347843.8, ""profit"": 436581.86}]","[29, 12, 80]","[16, 63, 36, 26, 57, 98, 13, 43, 47, 14]","[716, 386, 98]","[5861, 17714, 13725, 16035, 11119]","[2785, 4699, 221]"
38,"Myers, Rose and Perez","2450 Rodriguez Shoals
Phillipsburgh, WV 69659",S.a.S.,892-24-4995,"[{""year"": 2019, ""revenue"": 821496.95, ""profit"": 122645.63}, {""year"": 2015, ""revenue"": 678774.48, ""profit"": 207361.43}, {""year"": 2015, ""revenue"": 740963.8, ""profit"": 494732.69}, {""year"": 2016, ""revenue"": 967834.04, ""profit"": 445566.4}]","[43, 97, 62]","[85, 59, 33]","[3, 396]","[3155, 17003, 16183, 6084, 7720]",[3792]
39,"Patel, Walter and Armstrong","1309 Jonathan Drive Apt. 169
Harrisstad, IN 96449",S.a.S.,207-28-9323,"[{""year"": 2018, ""revenue"": 873981.26, ""profit"": 179309.96}, {""year"": 2020, ""revenue"": 921067.58, ""profit"": 201047.03}]","[64, 10]","[91, 37]","[292, 959, 378]","[1819, 17050]","[3444, 2128]"
40,Ward LLC,"36287 Silva Crossing
Vickistad, HI 77822",S.n.C.,308-88-1573,"[{""year"": 2016, ""revenue"": 35859.39, ""profit"": 40201.28}, {""year"": 2016, ""revenue"": 873672.55, ""profit"": 41923.16}, {""year"": 2016, ""revenue"": 727678.74, ""profit"": 201783.3}]","[68, 49, 22]","[4, 17, 57, 10, 6, 56]","[205, 36]","[11882, 7867, 373, 18585]",[4671]
41,"Anderson, Jacobs and Lee","5224 Thomas Mission
Lake Kelsey, MN 23889",S.n.C.,093-87-4485,"[{""year"": 2022, ""revenue"": 825288.02, ""profit"": 200980.2}, {""year"": 2017, ""revenue"": 168005.67, ""profit"": 233068.5}, {""year"": 2020, ""revenue"": 629730.04, ""profit"": 364182.57}]","[84, 53, 86]","[72, 42, 3, 18, 43, 63, 96, 65, 4, 85]","[724, 414, 598]",[15831],"[2519, 1145]"
42,Black-White,"79329 Sheila Turnpike
Lake Ralph, MH 53493",Onlus,479-13-2613,"[{""year"": 2023, ""revenue"": 250310.87, ""profit"": 34518.14}, {""year"": 2023, ""revenue"": 37062.25, ""profit"": 230543.51}, {""year"": 2022, ""revenue"": 471349.02, ""profit"": 415602.71}, {""year"": 2019, ""revenue"": 887926.86, ""profit"": 258318.51}]",[90],[47],"[562, 323, 486]","[17173, 5019, 10143, 14073]","[4186, 3261]"
43,"Robertson, Mccall and Miller","Unit 4452 Box 1782
DPO AA 26273",Onlus,776-53-9364,"[{""year"": 2015, ""revenue"": 838647.29, ""profit"": 128575.41}]","[62, 45, 75]",[64],[281],"[5135, 3320, 15840, 7989]","[2335, 1474, 2593]"
44,Bryant PLC,"00871 Oscar Streets Apt. 610
East Michael, CA 99746",S.r.l. a socio unico,548-45-0430,"[{""year"": 2021, ""revenue"": 339734.51, ""profit"": 172001.8}]","[39, 54]","[95, 60, 18, 77, 11, 91, 93, 19, 76]","[364, 37, 985]",[14647],[2444]
45,"Baldwin, Stephens and David","3861 Cruz Mills
West Justin, RI 52622",S.n.C.,793-70-8059,"[{""year"": 2022, ""revenue"": 932760.88, ""profit"": 118925.1}, {""year"": 2020, ""revenue"": 826194.38, ""profit"": 123459.47}, {""year"": 2022, ""revenue"": 302547.2, ""profit"": 105862.0}]","[61, 65]","[31, 64, 47, 13, 21, 84, 93, 42]","[254, 613, 104]","[16471, 4966, 12788]","[1006, 1679]"
46,Caldwell-Arnold,"2629 Dustin Brook Suite 613
South Danielland, MO 65425",S.r.l. a socio unico,753-05-4683,"[{""year"": 2015, ""revenue"": 469515.55, ""profit"": 480423.89}, {""year"": 2020, ""revenue"": 587263.8, ""profit"": 405727.99}]","[60, 95, 82]","[15, 68, 95]","[622, 575, 711]","[1792, 13516, 5986, 11493]","[4470, 3828]"
47,Graham-Holmes,"3002 Kelly Mount
Sandersland, MH 78212",S.p.A.,118-74-1410,"[{""year"": 2018, ""revenue"": 832580.15, ""profit"": 177802.3}, {""year"": 2021, ""revenue"": 628528.78, ""profit"": 243795.48}]","[6, 33]",[96],"[203, 973]",[17882],"[38, 877, 3240]"
48,Tucker Group,"8045 Maria Fort Suite 554
Griffinview, DE 93233",Onlus,883-21-0604,"[{""year"": 2022, ""revenue"": 286481.76, ""profit"": 430493.25}, {""year"": 2022, ""revenue"": 672012.12, ""profit"": 211021.07}, {""year"": 2021, ""revenue"": 498035.13, ""profit"": 484990.15}, {""year"": 2021, ""revenue"": 501790.83, ""profit"": 423339.31}, {""year"": 2023, ""revenue"": 764030.08, ""profit"": 210852.97}]",[47],"[36, 50, 64, 80, 78, 70, 46]","[354, 288, 623]","[1496, 12523]","[1976, 1545]"
49,Wade-Watkins,"7493 Stanley Courts
East Anna, IL 35374",S.a.S.,218-70-0260,"[{""year"": 2020, ""revenue"": 459509.79, ""profit"": 105008.39}, {""year"": 2017, ""revenue"": 478588.26, ""profit"": 217838.86}, {""year"": 2019, ""revenue"": 18161.96, ""profit"": 364321.72}]",[19],"[48, 40, 98, 73, 65, 13]","[260, 309, 478]",[7805],"[3263, 2184, 2203]"
50,Ibarra-White,"7676 Kristen Throughway
Danielsview, MO 60025",S.r.l.,064-12-0847,"[{""year"": 2022, ""revenue"": 714050.73, ""profit"": 487425.4}, {""year"": 2019, ""revenue"": 69058.68, ""profit"": 396641.96}]","[45, 21, 25]",[11],"[467, 695]","[17429, 3768, 5199, 11945]",[1950]
51,"Daniel, Kline and Brown","00247 Brian Wall Apt. 022
East Casey, MN 31534",Cooperative,504-03-0808,"[{""year"": 2019, ""revenue"": 618904.82, ""profit"": 298703.94}]","[49, 46, 54]","[86, 28, 58]",[316],"[14675, 15210, 7628, 12915]","[4817, 176]"
52,Gilbert-Herrera,"95632 White Glens
East Christinemouth, AR 68392",S.n.C.,058-96-9560,"[{""year"": 2021, ""revenue"": 481197.28, ""profit"": 36431.92}]",[96],"[8, 67, 76, 26, 15, 61]","[619, 642, 725]","[19893, 3020]","[833, 922, 4045]"
53,Anderson-Joyce,"02220 Brian Crest
Port Seanville, NM 11987",Cooperative,790-26-5416,"[{""year"": 2022, ""revenue"": 221686.35, ""profit"": 214779.5}, {""year"": 2016, ""revenue"": 821376.07, ""profit"": 362311.42}, {""year"": 2017, ""revenue"": 736873.87, ""profit"": 448875.24}, {""year"": 2018, ""revenue"": 430028.39, ""profit"": 258927.42}, {""year"": 2017, ""revenue"": 910447.94, ""profit"": 306554.11}]","[51, 95]","[97, 16, 14, 23, 29, 63, 15, 1, 39, 33]","[257, 772]","[2044, 13813, 15341, 9127, 17120]","[1782, 3672]"
54,"Wells, Price and Evans","PSC 7309, Box 2529
APO AP 29183",Onlus,255-68-3451,"[{""year"": 2015, ""revenue"": 820389.13, ""profit"": 235095.88}, {""year"": 2016, ""revenue"": 876703.86, ""profit"": 291263.07}, {""year"": 2021, ""revenue"": 595515.91, ""profit"": 347237.46}]","[79, 16, 47]","[27, 56, 17, 21, 19, 71, 86, 54, 98]","[646, 323, 213]","[3243, 4750, 148]",[2796]
55,Walker-Raymond,"63148 Bonnie Trace Suite 957
Port Gabriel, NM 37678",S.p.A.,441-28-7977,"[{""year"": 2019, ""revenue"": 826555.89, ""profit"": 194921.41}, {""year"": 2020, ""revenue"": 662881.47, ""profit"": 317961.34}, {""year"": 2019, ""revenue"": 482175.26, ""profit"": 454776.76}, {""year"": 2016, ""revenue"": 382165.99, ""profit"": 225737.66}]",[21],[95],"[366, 217, 76]",[8053],"[2032, 4307, 332]"
56,Reyes-Ramirez,"691 Jill Walks Suite 720
Erictown, TN 91618",S.n.C.,112-52-0087,"[{""year"": 2020, ""revenue"": 235007.57, ""profit"": 130547.21}, {""year"": 2015, ""revenue"": 309744.79, ""profit"": 487060.8}, {""year"": 2021, ""revenue"": 29943.65, ""profit"": 124594.2}, {""year"": 2021, ""revenue"": 400348.33, ""profit"": 373483.88}]","[19, 2, 9]","[21, 97, 27]",[782],"[4103, 4899]",[3977]
57,Golden-Ortiz,"USS Holmes
FPO AE 99243",S.r.l.,040-79-1447,"[{""year"": 2015, ""revenue"": 191987.88, ""profit"": 78072.44}, {""year"": 2023, ""revenue"": 14583.76, ""profit"": 131604.59}]",[91],[24],"[113, 794]",[18360],"[1143, 83, 2592]"
58,Gonzales PLC,"148 Morgan Summit
Port Bethmouth, MH 76549",Cooperative,886-33-9632,"[{""year"": 2023, ""revenue"": 627393.71, ""profit"": 199846.66}]","[14, 54]",[21],[653],"[16280, 19791, 6822, 17662]","[1096, 1434]"
59,Wells-Donaldson,"PSC 0230, Box 8553
APO AP 59846",S.a.S.,331-20-7449,"[{""year"": 2018, ""revenue"": 984177.66, ""profit"": 295281.58}]","[92, 78, 52]","[73, 33]","[518, 321, 894]","[19197, 9712]","[2689, 4096, 4532]"
60,Patterson LLC,"USCGC Neal
FPO AA 71237",S.p.A.,078-45-3330,"[{""year"": 2017, ""revenue"": 517574.23, ""profit"": 233130.67}, {""year"": 2019, ""revenue"": 916441.13, ""profit"": 345320.31}, {""year"": 2018, ""revenue"": 341082.99, ""profit"": 358380.38}, {""year"": 2022, ""revenue"": 613425.55, ""profit"": 36786.74}]","[75, 36]","[28, 74, 8]","[167, 367, 335]","[4868, 13323, 17985, 10184]","[2632, 2245]"
61,"Porter, Walton and Williamson","255 Jackson Burgs
South Barbarashire, PA 58233",S.n.C.,842-08-8627,"[{""year"": 2020, ""revenue"": 232628.29, ""profit"": 13735.58}, {""year"": 2022, ""revenue"": 740729.04, ""profit"": 68813.09}, {""year"": 2015, ""revenue"": 674041.42, ""profit"": 121486.73}, {""year"": 2019, ""revenue"": 882217.7, ""profit"": 56430.43}]","[38, 33]","[57, 56, 93, 31, 82]","[481, 472, 373]","[7122, 17242, 14839, 19127]",[1622]
62,"Villanueva, Ortega and Johnson","156 King Expressway
South Nicolebury, AR 38869",Onlus,524-07-2137,"[{""year"": 2016, ""revenue"": 907292.02, ""profit"": 89627.77}, {""year"": 2017, ""revenue"": 819255.34, ""profit"": 50970.1}, {""year"": 2018, ""revenue"": 930705.62, ""profit"": 111848.21}, {""year"": 2021, ""revenue"": 439024.76, ""profit"": 410894.2}]",[85],"[37, 82, 55]",[281],"[8490, 2738]",[1324]
63,Blackburn-Jones,"6884 Alan Keys
South Jacqueline, NJ 84273",Cooperative,191-76-8827,"[{""year"": 2021, ""revenue"": 857342.02, ""profit"": 186453.94}, {""year"": 2015, ""revenue"": 545366.39, ""profit"": 55932.4}, {""year"": 2017, ""revenue"": 373533.1, ""profit"": 186556.98}]","[9, 28, 68]","[96, 64, 32, 33, 45, 61, 7, 8, 74, 92]","[230, 471, 696]","[10383, 300, 6906, 18087]","[3906, 4777, 1127]"
64,"Freeman, Smith and Miller","51850 Stark Mews Suite 474
Lake Lesliebury, OH 95006",S.n.C.,743-58-7758,"[{""year"": 2022, ""revenue"": 296084.72, ""profit"": 388166.98}, {""year"": 2020, ""revenue"": 571469.64, ""profit"": 429120.35}, {""year"": 2021, ""revenue"": 957406.27, ""profit"": 414935.26}]","[89, 1, 77]","[10, 86, 18, 87, 11, 77, 20, 66]",[22],"[1262, 5825]","[1580, 300, 3236]"
65,"Gibson, Orr and Bond","69339 Swanson Burgs
Collinsberg, CO 48020",S.r.l.,086-74-9766,"[{""year"": 2018, ""revenue"": 51242.66, ""profit"": 265096.69}, {""year"": 2016, ""revenue"": 182994.66, ""profit"": 223045.34}, {""year"": 2016, ""revenue"": 237992.98, ""profit"": 7654.03}, {""year"": 2016, ""revenue"": 177670.94, ""profit"": 457602.55}]",[42],"[3, 42, 89, 43, 16, 11, 96, 62, 86]",[507],[13652],[259]
