id,name,address,legal_form,registration_details,financial_data,administrators,shareholders,ubo,transactions,kyc_aml_checks
13,Parker-Cowan,"6958 Green Land
North Benjaminburgh, MA 21743",Cooperative,820-97-2489,"[{""year"": 2017, ""revenue"": 693996.76, ""profit"": 321368.25}, {""year"": 2021, ""revenue"": 715753.09, ""profit"": 262837.75}]","[70, 64]","[71, 73, 19, 7, 85, 38, 93, 62, 31]","[975, 698, 171]","[3146, 9586]","[3057, 4643]"
14,"Cummings, Bush and Willis","7226 Franco Overpass Apt. 325
Ashleyfort, MT 79917",S.r.l. a socio unico,197-16-5084,"[{""year"": 2021, ""revenue"": 211028.81, ""profit"": 100825.36}]","[85, 16]",[61],"[835, 375]","[8765, 17451, 17525, 7181, 13631]","[2425, 1003, 375]"
15,"Henry, Gonzalez and Mitchell","83372 Kim Village Apt. 714
North Eric, CA 97044",S.n.C.,447-86-6836,"[{""year"": 2016, ""revenue"": 837847.34, ""profit"": 189598.99}, {""year"": 2022, ""revenue"": 548656.5, ""profit"": 91380.38}, {""year"": 2020, ""revenue"": 961766.28, ""profit"": 237708.53}, {""year"": 2023, ""revenue"": 579479.79, ""profit"": 400598.05}]","[45, 94]","[82, 50, 64, 70, 89, 34, 38, 62, 68, 44]",[429],"[13498, 8410]","[656, 3012]"
16,Hughes PLC,"5962 Amber Points
South Matthew, VI 61329",S.a.S.,522-70-4917,"[{""year"": 2021, ""revenue"": 101942.49, ""profit"": 20625.44}, {""year"": 2017, ""revenue"": 201813.73, ""profit"": 164854.74}]","[70, 88, 50]","[25, 70, 40, 82, 79, 75, 37, 6, 27]",[952],"[11224, 16254, 11529]",[2845]
17,"Martin, Townsend and Cunningham","01821 Russell Grove Suite 460
West Lauraport, TN 96863",Onlus,776-95-4437,"[{""year"": 2020, ""revenue"": 706523.66, ""profit"": 371727.69}, {""year"": 2019, ""revenue"": 487660.51, ""profit"": 423971.47}, {""year"": 2022, ""revenue"": 370658.0, ""profit"": 255605.73}, {""year"": 2019, ""revenue"": 493235.69, ""profit"": 107011.15}, {""year"": 2015, ""revenue"": 144469.49, ""profit"": 9207.43}]","[93, 62]","[94, 31, 10, 73, 100, 48, 16, 7, 29, 69]","[905, 990]","[2464, 6599, 17862, 17684]",[3025]
18,Bell-Garcia,"8962 Hayes Ferry
Dannytown, HI 42935",S.n.C.,061-99-8325,"[{""year"": 2023, ""revenue"": 628661.3, ""profit"": 477416.39}, {""year"": 2023, ""revenue"": 274414.22, ""profit"": 448728.54}]","[79, 73, 20]","[45, 5, 86, 80, 16, 75, 37, 12, 69, 47]","[619, 975]","[8772, 6793, 1064, 12597]",[3877]
19,"Goodman, Murray and Orozco","Unit 3393 Box 4813
DPO AE 19680",S.r.l.,556-56-0383,"[{""year"": 2017, ""revenue"": 890784.33, ""profit"": 11486.29}]","[86, 5, 96]","[64, 26, 96, 3, 23, 62, 11, 13]","[731, 534, 543]","[1493, 3242, 13555, 12593, 11201]","[4619, 172, 949]"
20,Robinson LLC,"99890 Robinson Dale
North Melinda, LA 02490",S.r.l.,326-71-6611,"[{""year"": 2020, ""revenue"": 574979.29, ""profit"": 200003.02}, {""year"": 2021, ""revenue"": 370746.1, ""profit"": 259578.61}, {""year"": 2017, ""revenue"": 717788.39, ""profit"": 167502.3}]","[53, 7]",[29],[758],"[7862, 7665, 5824, 7976]","[173, 1538, 2984]"
21,Graham and Sons,"7859 Anthony Knolls Suite 145
Amandashire, HI 25446",S.a.S.,146-43-1645,"[{""year"": 2016, ""revenue"": 386835.73, ""profit"": 317717.47}, {""year"": 2016, ""revenue"": 199629.38, ""profit"": 376047.14}]",[79],"[15, 4, 84, 39, 73]","[555, 398, 519]",[10932],"[2699, 1977, 392]"
22,"Chapman, Salazar and Kerr","3006 Scott Fall Apt. 029
East Gary, WA 97293",S.p.A.,594-10-1138,"[{""year"": 2020, ""revenue"": 595432.89, ""profit"": 355529.13}, {""year"": 2015, ""revenue"": 822764.6, ""profit"": 268346.92}, {""year"": 2017, ""revenue"": 615942.94, ""profit"": 201246.15}, {""year"": 2023, ""revenue"": 638573.85, ""profit"": 354067.62}, {""year"": 2023, ""revenue"": 170205.41, ""profit"": 442257.64}]","[66, 68]","[6, 18, 58, 25, 79, 17, 36, 98, 61, 68]",[252],"[16786, 4967]",[4025]
23,"Brady, Sharp and Cabrera","32774 Hernandez Flats
New Jamesmouth, UT 85421",S.r.l. a socio unico,693-99-9455,"[{""year"": 2017, ""revenue"": 591206.95, ""profit"": 312425.57}, {""year"": 2016, ""revenue"": 339054.55, ""profit"": 161929.45}]","[96, 29, 37]","[57, 73, 99, 84, 89, 86, 30, 96, 3]","[723, 761, 756]","[2176, 6178]","[4752, 1358]"
24,Moore and Sons,"202 Coleman Pike
Lindaburgh, VI 72189",S.r.l.,408-90-3831,"[{""year"": 2020, ""revenue"": 599356.91, ""profit"": 74377.83}, {""year"": 2023, ""revenue"": 334157.0, ""profit"": 495594.56}, {""year"": 2017, ""revenue"": 782663.08, ""profit"": 157730.76}]",[98],"[28, 99, 12, 30, 83, 33, 87]","[545, 51, 518]","[16538, 6779, 9985, 10230]","[3152, 3496, 4138]"
25,"Day, Banks and Smith","63890 Jennifer Roads
Lake Debrafurt, CA 29463",Cooperative,558-01-7782,"[{""year"": 2018, ""revenue"": 551461.27, ""profit"": 139761.5}, {""year"": 2020, ""revenue"": 611754.69, ""profit"": 123769.09}, {""year"": 2016, ""revenue"": 926924.32, ""profit"": 258283.32}]","[60, 34]","[22, 100, 28, 17, 24, 32, 23, 33, 45, 68]",[925],"[711, 17996, 11785, 2761]","[3483, 623, 4578]"
26,Matthews and Sons,"75771 Crane Glen
Aaronview, NC 04043",S.p.A.,407-76-8530,"[{""year"": 2019, ""revenue"": 761288.23, ""profit"": 392217.89}, {""year"": 2019, ""revenue"": 632463.57, ""profit"": 13404.75}]","[25, 59]","[40, 87, 53, 71, 96, 89, 38, 33]","[508, 199, 23]","[1618, 3631, 10089, 3873]","[1394, 4466]"
27,Smith-Lee,"845 William Field Suite 587
East Karen, DE 78447",S.r.l. a socio unico,209-09-5325,"[{""year"": 2018, ""revenue"": 42091.98, ""profit"": 270538.82}]",[48],"[1, 96, 4, 71, 68]",[100],[8557],"[642, 2052, 3108]"
28,Snyder LLC,"PSC 2136, Box 1487
APO AP 26256",S.p.A.,326-91-8614,"[{""year"": 2016, ""revenue"": 606426.55, ""profit"": 223941.45}, {""year"": 2016, ""revenue"": 728191.41, ""profit"": 462716.42}, {""year"": 2016, ""revenue"": 904192.27, ""profit"": 467526.93}, {""year"": 2022, ""revenue"": 519915.51, ""profit"": 327213.49}, {""year"": 2015, ""revenue"": 981492.36, ""profit"": 81451.74}]","[89, 70]","[36, 33, 62, 82, 91]","[923, 315]","[10956, 10466, 19910, 11496, 6231]","[361, 578]"
29,Becker PLC,"30479 Black Knolls Suite 194
Juliaside, OR 27492",Onlus,839-94-9339,"[{""year"": 2016, ""revenue"": 266810.75, ""profit"": 304464.65}, {""year"": 2023, ""revenue"": 575369.43, ""profit"": 484902.5}, {""year"": 2021, ""revenue"": 866480.34, ""profit"": 247786.4}]","[97, 31]","[88, 3, 30, 87, 77]","[105, 227, 89]","[19998, 9429]","[555, 1641, 2129]"
30,Smith-Moreno,"Unit 1754 Box 6689
DPO AE 77981",S.p.A.,135-22-6835,"[{""year"": 2015, ""revenue"": 668516.79, ""profit"": 369760.96}, {""year"": 2020, ""revenue"": 826295.91, ""profit"": 161005.35}]","[26, 9]","[14, 39, 69, 54, 59, 37, 21, 76, 92]","[883, 752]","[944, 9399]","[4640, 261]"
31,Barton Inc,"6321 Flores Heights
Lake Molly, PW 27377",S.n.C.,722-21-4454,"[{""year"": 2015, ""revenue"": 321951.07, ""profit"": 30175.32}, {""year"": 2017, ""revenue"": 380664.26, ""profit"": 362496.35}, {""year"": 2023, ""revenue"": 965683.73, ""profit"": 438219.26}, {""year"": 2018, ""revenue"": 261167.11, ""profit"": 386677.58}, {""year"": 2022, ""revenue"": 779881.59, ""profit"": 302452.82}]",[23],"[93, 61, 4, 85, 12, 99, 87]","[37, 892]",[4477],[2155]
32,White-Wilkins,"150 Victoria Walk Suite 700
Lauraberg, NM 02539",Cooperative,711-60-6280,"[{""year"": 2016, ""revenue"": 883459.9, ""profit"": 184455.9}]","[66, 81]","[5, 68, 13, 35, 88, 31, 100, 49]",[559],"[17792, 8848, 5215, 19048, 396]",[3232]
33,Goodman-Yang,"39690 Perry Loop Suite 159
Port Donnachester, MS 17769",Onlus,104-21-6884,"[{""year"": 2016, ""revenue"": 637393.56, ""profit"": 449594.5}, {""year"": 2017, ""revenue"": 178436.12, ""profit"": 37782.81}, {""year"": 2023, ""revenue"": 185449.77, ""profit"": 372480.86}, {""year"": 2022, ""revenue"": 957222.74, ""profit"": 359693.79}]","[93, 12]","[96, 8, 45, 60, 85]","[628, 117]","[12736, 19297, 8594, 4797, 6564]","[1593, 1305, 144]"
34,"Dillon, Myers and Parsons","583 Mathis Walks
Garrettfort, TN 43639",S.p.A.,155-02-7261,"[{""year"": 2023, ""revenue"": 633721.62, ""profit"": 101493.06}, {""year"": 2021, ""revenue"": 974006.77, ""profit"": 383664.17}, {""year"": 2022, ""revenue"": 820702.76, ""profit"": 113871.23}, {""year"": 2021, ""revenue"": 186328.39, ""profit"": 303582.61}]","[32, 58]","[79, 37, 6, 33, 77, 41, 85]","[324, 155, 232]","[8390, 10036]",[3243]
35,"Whitaker, Jackson and Wiggins","118 Martin Corner
Lake Ericside, AK 64800",S.r.l. a socio unico,421-42-1809,"[{""year"": 2016, ""revenue"": 401963.73, ""profit"": 393580.24}, {""year"": 2017, ""revenue"": 756092.69, ""profit"": 185911.82}, {""year"": 2017, ""revenue"": 353685.13, ""profit"": 486632.11}]","[27, 31]","[30, 59, 66, 20]",[445],[4995],[536]
36,Cobb Group,"Unit 9150 Box 8228
DPO AA 15256",S.r.l.,051-80-4603,"[{""year"": 2022, ""revenue"": 399675.53, ""profit"": 106549.32}]",[17],"[46, 19, 73, 7, 62, 12]","[121, 530, 144]","[13310, 13816, 11220, 10512, 1797]",[3065]
37,Lewis-Wright,"97260 Andrew Plain Suite 484
West Coryshire, ME 07902",S.r.l. a socio unico,307-11-6061,"[{""year"": 2021, ""revenue"": 21279.99, ""profit"": 422084.05}, {""year"": 2021, ""revenue"": 448545.21, ""profit"": 12759.96}]","[66, 92]","[58, 13, 44, 78, 53, 32]","[274, 339]","[17847, 3086]","[1889, 2883]"
38,Villanueva LLC,"3961 Gonzalez Lights Apt. 033
East Meganstad, KS 47923",S.p.A.,628-94-7999,"[{""year"": 2017, ""revenue"": 434646.2, ""profit"": 44234.17}, {""year"": 2017, ""revenue"": 519484.14, ""profit"": 216925.84}, {""year"": 2023, ""revenue"": 782219.6, ""profit"": 280982.01}]","[16, 17, 29]","[6, 15, 2, 25, 100]","[841, 793]","[17440, 14072, 16060, 10332]",[2968]
39,Ho-Wilson,"939 Dyer Meadow
Roblesshire, RI 41542",Cooperative,164-79-5211,"[{""year"": 2019, ""revenue"": 346013.55, ""profit"": 114500.29}, {""year"": 2018, ""revenue"": 208043.99, ""profit"": 87422.8}, {""year"": 2017, ""revenue"": 42060.14, ""profit"": 414259.12}, {""year"": 2015, ""revenue"": 135288.66, ""profit"": 371725.77}]","[81, 14, 57]","[94, 75, 28]","[348, 667, 188]","[18458, 3518, 3243, 19698, 7900]","[3094, 3972]"
40,"Johnson, Nielsen and Green","67015 Lucas Drives Suite 994
Thompsonberg, KS 57145",S.n.C.,706-36-9885,"[{""year"": 2020, ""revenue"": 742531.16, ""profit"": 22300.79}, {""year"": 2021, ""revenue"": 678296.52, ""profit"": 109127.3}, {""year"": 2021, ""revenue"": 914862.08, ""profit"": 33783.24}]",[93],"[25, 68, 14, 45, 54]","[181, 794]","[361, 7417, 15367, 4695]","[1736, 2051, 3092]"
41,Wallace-Brown,"05397 Bailey Circles Suite 202
Christophermouth, DC 38149",S.r.l. a socio unico,359-09-8705,"[{""year"": 2022, ""revenue"": 758616.68, ""profit"": 413193.69}, {""year"": 2015, ""revenue"": 352168.16, ""profit"": 174696.37}, {""year"": 2023, ""revenue"": 22806.69, ""profit"": 342941.4}]","[67, 89]","[4, 34, 79, 71, 93, 90, 68]",[938],"[15302, 13209, 7044]","[1742, 2933, 3137]"
42,Knight Inc,"Unit 2825 Box 6257
DPO AE 06045",S.r.l.,198-97-4827,"[{""year"": 2019, ""revenue"": 189385.42, ""profit"": 318409.52}, {""year"": 2018, ""revenue"": 610543.62, ""profit"": 291253.55}]",[85],"[82, 77, 21, 92, 59, 35, 87, 4, 34, 72]","[737, 249, 43]","[9530, 18889, 2458]","[220, 2155, 4949]"
43,Johnson and Sons,"7160 Mitchell Avenue
Bryanstad, IA 11908",S.p.A.,157-39-8322,"[{""year"": 2017, ""revenue"": 744786.06, ""profit"": 144862.63}, {""year"": 2020, ""revenue"": 991703.82, ""profit"": 207195.41}, {""year"": 2020, ""revenue"": 314779.64, ""profit"": 146223.33}, {""year"": 2021, ""revenue"": 765864.87, ""profit"": 132770.75}]","[99, 88, 80]",[51],"[784, 955, 908]","[11975, 10054]","[1682, 2654, 1248]"
44,Green Ltd,"53769 Miller Walk
Lukehaven, MN 29998",Cooperative,799-43-4942,"[{""year"": 2017, ""revenue"": 922210.19, ""profit"": 243893.03}, {""year"": 2022, ""revenue"": 136219.01, ""profit"": 409072.76}, {""year"": 2022, ""revenue"": 27844.62, ""profit"": 331357.93}, {""year"": 2017, ""revenue"": 42532.32, ""profit"": 30819.7}, {""year"": 2015, ""revenue"": 978042.34, ""profit"": 266607.25}]","[82, 70]","[5, 76, 43, 38, 24, 6, 9, 89]",[141],"[4299, 739]",[4612]
45,Cooper Group,"7281 Gina Crescent
Fishertown, OK 58476",S.n.C.,515-55-2346,"[{""year"": 2018, ""revenue"": 251184.27, ""profit"": 47984.27}, {""year"": 2016, ""revenue"": 673928.96, ""profit"": 221918.99}]","[13, 47]","[100, 58, 12, 74, 36]","[44, 310, 55]",[7820],"[4077, 2552, 1591]"
46,Strong Group,"PSC 1833, Box 8563
APO AE 45100",S.r.l.,498-01-5436,"[{""year"": 2020, ""revenue"": 413509.86, ""profit"": 402134.43}, {""year"": 2015, ""revenue"": 976788.77, ""profit"": 130693.39}, {""year"": 2019, ""revenue"": 552196.4, ""profit"": 453560.76}]","[78, 1]","[42, 72, 20, 14, 61, 48, 52]",[850],"[2842, 4084, 4782, 235, 8902]","[4750, 4801, 3174]"
47,Burton-Smith,"1096 Raymond Alley
Danielbury, VI 10897",S.r.l.,613-14-3116,"[{""year"": 2020, ""revenue"": 477828.82, ""profit"": 492601.14}, {""year"": 2016, ""revenue"": 497227.08, ""profit"": 329108.33}, {""year"": 2022, ""revenue"": 418201.14, ""profit"": 89692.18}, {""year"": 2017, ""revenue"": 729601.85, ""profit"": 5089.07}, {""year"": 2016, ""revenue"": 756865.22, ""profit"": 179089.35}]",[88],"[79, 87, 18, 99, 24, 4]","[59, 74, 33]",[14347],[4648]
48,"George, Ochoa and Brady","367 Richardson Viaduct
Hernandezton, MP 56588",S.n.C.,625-97-6994,"[{""year"": 2018, ""revenue"": 63640.65, ""profit"": 68973.98}]","[16, 44, 80]","[11, 9, 87, 10]","[87, 970]","[7888, 14726, 7692]",[242]
49,"Bowman, Rivera and Moore","569 Stone Knoll Suite 706
East April, CT 06445",S.n.C.,112-56-6918,"[{""year"": 2020, ""revenue"": 447776.76, ""profit"": 409202.18}, {""year"": 2022, ""revenue"": 343498.69, ""profit"": 91904.27}]","[68, 50]","[40, 65, 69, 57, 43]",[666],"[13300, 8304]",[640]
50,"Wright, Walker and Padilla","83291 Clay Circles
Michaelville, IN 17359",S.a.S.,214-02-9721,"[{""year"": 2016, ""revenue"": 42557.65, ""profit"": 339888.97}, {""year"": 2021, ""revenue"": 332410.38, ""profit"": 179498.09}]",[100],"[59, 28]",[58],"[16172, 790]","[1261, 2184, 1703]"
51,Morse LLC,"629 Thornton Cliffs
South Josephport, CT 57933",S.p.A.,505-67-9773,"[{""year"": 2022, ""revenue"": 224594.06, ""profit"": 412653.55}, {""year"": 2022, ""revenue"": 178607.01, ""profit"": 228450.92}, {""year"": 2019, ""revenue"": 17619.78, ""profit"": 432955.95}, {""year"": 2020, ""revenue"": 915969.57, ""profit"": 226575.65}, {""year"": 2021, ""revenue"": 300241.94, ""profit"": 379274.07}]",[25],"[85, 10, 84, 41, 93]",[570],"[7422, 19963, 12944]","[3718, 1737]"
52,"Dillon, Smith and Allen","PSC 4075, Box 7197
APO AE 78516",S.n.C.,543-66-7302,"[{""year"": 2022, ""revenue"": 743328.89, ""profit"": 324326.68}]","[93, 32, 8]","[12, 77, 17, 96, 40, 22]",[350],"[14817, 17971]",[4074]
53,Nguyen-Taylor,"225 Gray Flat
East Lisa, WI 82230",S.r.l.,313-99-9750,"[{""year"": 2017, ""revenue"": 474498.15, ""profit"": 415676.4}, {""year"": 2015, ""revenue"": 992290.94, ""profit"": 56951.44}]","[5, 22, 20]","[79, 94, 72]","[817, 603]","[18429, 12033, 4018, 6562, 7778]","[1375, 3389, 3624]"
54,Smith Ltd,"5903 Sonya Motorway
Emilyview, IL 66902",S.p.A.,164-99-8047,"[{""year"": 2017, ""revenue"": 209201.93, ""profit"": 202703.22}, {""year"": 2016, ""revenue"": 808075.49, ""profit"": 65211.85}, {""year"": 2015, ""revenue"": 836906.35, ""profit"": 401094.71}]","[16, 86, 88]","[71, 83, 66, 75, 76, 89, 44, 34, 84, 80]","[807, 930, 974]",[9080],"[1019, 487, 4425]"
55,Hawkins-Osborne,"85608 Mccarthy Inlet Suite 978
South Ronald, WI 35756",S.n.C.,770-18-5663,"[{""year"": 2017, ""revenue"": 182747.16, ""profit"": 299876.46}, {""year"": 2016, ""revenue"": 845660.37, ""profit"": 405898.12}, {""year"": 2020, ""revenue"": 164173.7, ""profit"": 165773.64}, {""year"": 2018, ""revenue"": 122002.11, ""profit"": 359604.94}, {""year"": 2017, ""revenue"": 449144.15, ""profit"": 37936.8}]","[76, 30]","[9, 50, 29, 94]",[151],"[779, 140, 1403, 7708]","[3237, 565, 2772]"
56,Hall Inc,"6738 Rice Brooks
North Amandaton, LA 59266",S.n.C.,848-76-4116,"[{""year"": 2022, ""revenue"": 477085.41, ""profit"": 399796.51}, {""year"": 2019, ""revenue"": 746266.79, ""profit"": 414496.03}, {""year"": 2022, ""revenue"": 948467.35, ""profit"": 120172.15}, {""year"": 2016, ""revenue"": 344674.85, ""profit"": 364623.32}, {""year"": 2020, ""revenue"": 258643.68, ""profit"": 127847.24}]",[69],"[96, 82, 88, 73]","[349, 681]","[18046, 312, 12346, 19749]",[4493]
57,Jones PLC,"5891 Mccall Trail Suite 575
South Breannaport, AS 05328",S.n.C.,358-71-8909,"[{""year"": 2021, ""revenue"": 353706.42, ""profit"": 158624.57}, {""year"": 2020, ""revenue"": 309057.95, ""profit"": 383416.01}, {""year"": 2023, ""revenue"": 244179.22, ""profit"": 313582.4}, {""year"": 2023, ""revenue"": 110124.82, ""profit"": 69653.22}, {""year"": 2020, ""revenue"": 298884.1, ""profit"": 488875.69}]","[73, 63, 89]","[88, 54, 14, 98, 59, 22]","[26, 808]","[18325, 4337, 11412, 659]",[4045]
58,"Sharp, Combs and Greene","33026 Logan Parks
Orozcostad, HI 45988",S.r.l.,286-54-7555,"[{""year"": 2016, ""revenue"": 267050.86, ""profit"": 162798.43}, {""year"": 2017, ""revenue"": 384833.81, ""profit"": 64496.66}, {""year"": 2022, ""revenue"": 408032.85, ""profit"": 100349.68}]","[73, 86]","[41, 4, 8]",[917],"[2695, 11545, 10860, 7564]","[4770, 337, 2212]"
59,Logan and Sons,"5222 Joshua Loop
Webbmouth, NY 93875",S.n.C.,141-74-8382,"[{""year"": 2022, ""revenue"": 600663.47, ""profit"": 213128.31}, {""year"": 2015, ""revenue"": 400531.64, ""profit"": 25439.65}, {""year"": 2020, ""revenue"": 138307.23, ""profit"": 209091.27}]",[71],"[25, 24, 94, 95, 21, 20, 78, 44, 32]","[446, 571, 594]","[7663, 9460]","[1347, 2125]"
60,Hale Ltd,"62805 Elizabeth Road
South William, CA 91612",S.r.l. a socio unico,533-98-7107,"[{""year"": 2022, ""revenue"": 96783.38, ""profit"": 316456.8}, {""year"": 2016, ""revenue"": 491446.3, ""profit"": 268080.55}, {""year"": 2023, ""revenue"": 272679.87, ""profit"": 107769.53}, {""year"": 2023, ""revenue"": 104899.81, ""profit"": 316969.53}, {""year"": 2017, ""revenue"": 847492.49, ""profit"": 79276.19}]","[73, 33]","[28, 97, 71, 40, 94, 93]","[700, 25, 909]","[6433, 12353, 752]","[2827, 1231, 3532]"
61,Rivera-Barker,"3629 Brooks Drives Suite 837
Thompsonburgh, AL 95708",S.r.l.,560-05-5970,"[{""year"": 2019, ""revenue"": 408881.02, ""profit"": 469302.34}, {""year"": 2021, ""revenue"": 738971.94, ""profit"": 264734.54}, {""year"": 2016, ""revenue"": 787656.23, ""profit"": 408425.97}, {""year"": 2018, ""revenue"": 354072.1, ""profit"": 131235.95}, {""year"": 2022, ""revenue"": 943991.35, ""profit"": 304476.29}]","[52, 97]","[56, 64, 62, 78, 99, 23, 41, 58]","[602, 459]","[877, 6105]","[1814, 1236]"
62,Becker Ltd,"546 Jessica Road
Seanberg, KS 52926",S.p.A.,030-08-9038,"[{""year"": 2016, ""revenue"": 981634.68, ""profit"": 153185.86}, {""year"": 2020, ""revenue"": 952654.53, ""profit"": 65890.66}, {""year"": 2018, ""revenue"": 785403.93, ""profit"": 176681.46}]","[23, 50]","[99, 41, 79, 83, 27, 64]","[116, 766]","[11756, 8036, 4211]","[4715, 1987]"
63,Harper-Walters,"Unit 6399 Box 1322
DPO AE 81073",S.p.A.,332-97-3020,"[{""year"": 2021, ""revenue"": 969478.43, ""profit"": 183440.07}, {""year"": 2017, ""revenue"": 630382.59, ""profit"": 291293.71}]",[33],"[42, 18, 88]","[263, 332, 661]","[5272, 18004, 10526, 9297]",[910]
