id,type,amount,date,currency
195,Purchase,1556.24,2021-12-15,AUD
196,Payment,7817.06,2022-04-18,JPY
197,Sale,4825.45,2023-04-15,AUD
198,Refund,8103.86,2020-04-19,GBP
199,Payment,9152.65,2022-08-12,JPY
200,Purchase,7564.29,2021-05-06,GBP
201,Refund,7702.43,2019-10-16,GBP
202,Sale,8975.83,2019-08-23,JPY
203,Purchase,4605.24,2020-01-10,JPY
204,Sale,1345.35,2019-12-05,JPY
205,Purchase,5721.35,2021-07-18,USD
206,Purchase,1784.28,2023-05-16,EUR
207,Sale,6208.93,2023-04-25,USD
208,Sale,4528.05,2021-05-19,GBP
209,Sale,9564.62,2020-11-07,EUR
210,Purchase,8324.72,2020-10-29,AUD
211,Purchase,8765.63,2021-02-28,EUR
212,Payment,4352.82,2021-06-20,GBP
213,Sale,7220.56,2019-08-09,AUD
214,Payment,8706.03,2023-04-12,GBP
215,Sale,5604.46,2019-08-20,EUR
216,Sale,5427.68,2021-04-04,USD
217,Purchase,8451.01,2024-04-04,AUD
218,Payment,6313.78,2020-02-15,GBP
219,Sale,5284.51,2023-01-11,JPY
220,Purchase,5145.64,2020-04-09,AUD
221,Purchase,8243.21,2023-01-13,GBP
222,Purchase,3907.35,2022-11-03,USD
223,Sale,7307.0,2021-01-21,EUR
224,Purchase,5870.15,2023-07-10,JPY
225,Refund,1118.55,2022-12-07,USD
226,Refund,4650.74,2020-10-04,JPY
227,Purchase,8055.39,2023-09-14,JPY
228,Refund,5113.71,2021-07-30,AUD
229,Sale,6020.4,2023-08-08,AUD
230,Refund,2985.46,2022-07-25,EUR
231,Refund,5971.61,2022-09-24,GBP
232,Payment,455.3,2022-02-12,GBP
233,Payment,1834.52,2022-01-03,JPY
234,Sale,7634.86,2020-10-02,EUR
235,Refund,7559.81,2022-05-17,USD
236,Refund,578.47,2020-07-31,EUR
237,Purchase,7321.54,2022-08-23,AUD
238,Purchase,9130.41,2022-07-21,USD
239,Refund,3416.65,2020-02-27,GBP
240,Sale,3110.76,2021-02-28,GBP
241,Payment,7609.78,2021-03-08,USD
242,Sale,2834.22,2022-03-27,GBP
243,Purchase,7649.59,2022-10-08,AUD
244,Sale,209.74,2020-09-17,JPY
245,Purchase,8254.45,2021-11-10,JPY
246,Sale,7317.27,2019-11-21,GBP
247,Payment,5218.29,2022-01-21,GBP
248,Sale,5647.11,2021-03-29,USD
249,Sale,6782.33,2022-01-26,USD
250,Payment,4090.22,2024-03-13,JPY
251,Payment,4383.53,2024-05-31,JPY
252,Sale,2090.52,2019-12-04,JPY
253,Sale,889.88,2023-10-27,JPY
254,Purchase,6699.81,2020-01-01,AUD
255,Payment,371.99,2020-11-13,USD
256,Sale,8644.75,2023-02-08,EUR
257,Sale,2499.21,2020-01-01,USD
258,Purchase,7921.9,2019-11-16,USD
259,Purchase,7822.68,2023-01-19,EUR
260,Sale,4318.97,2023-11-01,GBP
261,Payment,4457.79,2023-01-02,EUR
262,Payment,1907.21,2022-06-14,JPY
263,Payment,6024.81,2023-08-31,JPY
264,Payment,7852.06,2023-12-05,JPY
265,Payment,5694.69,2023-06-14,EUR
266,Payment,3069.19,2022-10-07,EUR
267,Refund,1993.05,2019-08-10,USD
268,Payment,5743.01,2022-07-30,JPY
269,Purchase,361.49,2021-06-10,USD
270,Payment,2432.63,2023-06-21,USD
271,Refund,8879.05,2021-05-25,AUD
272,Purchase,3603.8,2021-01-19,EUR
273,Payment,3384.55,2024-03-27,USD
274,Sale,5708.43,2019-12-15,USD
275,Purchase,3955.93,2022-04-05,AUD
276,Sale,3087.68,2022-03-21,USD
277,Sale,908.92,2022-12-03,USD
278,Payment,3407.95,2020-09-01,USD
279,Refund,3195.79,2022-07-26,AUD
280,Purchase,5636.8,2024-02-21,JPY
281,Payment,4272.26,2020-01-06,USD
282,Sale,4342.3,2021-10-06,AUD
283,Refund,1611.64,2021-02-16,USD
284,Payment,3532.83,2022-12-02,USD
285,Payment,5476.93,2024-06-09,USD
286,Refund,9083.4,2023-06-02,AUD
287,Refund,4097.54,2022-03-28,EUR
288,Sale,192.62,2021-08-12,USD
289,Sale,9335.85,2023-06-05,AUD
290,Sale,1344.16,2022-07-06,USD
291,Refund,7142.01,2021-12-29,GBP
292,Sale,9255.44,2021-03-15,AUD
293,Payment,6339.45,2022-06-28,JPY
294,Payment,3352.19,2022-11-17,JPY
295,Refund,6372.02,2020-07-04,AUD
296,Refund,9397.01,2019-09-10,USD
297,Purchase,1256.81,2024-06-13,AUD
298,Purchase,6050.16,2021-11-03,GBP
299,Sale,9107.82,2022-06-25,JPY
300,Purchase,1032.94,2022-07-12,EUR
301,Purchase,5459.95,2022-02-14,AUD
302,Sale,4763.51,2020-06-04,USD
303,Purchase,866.74,2021-10-13,USD
304,Sale,791.8,2020-03-10,EUR
305,Refund,6138.88,2021-01-17,AUD
306,Sale,6182.39,2023-09-08,AUD
307,Sale,2830.21,2024-06-12,EUR
308,Payment,1792.99,2022-11-26,AUD
309,Refund,3541.11,2021-07-17,USD
310,Refund,7377.79,2019-11-11,GBP
311,Refund,6777.22,2022-02-25,USD
312,Sale,1560.38,2019-09-10,USD
313,Payment,992.63,2022-12-01,AUD
314,Purchase,5726.22,2024-01-08,USD
315,Refund,4297.83,2024-05-28,JPY
316,Sale,8193.53,2022-07-17,GBP
317,Sale,9403.94,2021-05-09,AUD
318,Payment,1213.08,2022-11-04,EUR
319,Payment,3403.71,2021-07-14,JPY
320,Purchase,6109.41,2022-05-15,USD
321,Sale,1145.5,2020-07-21,EUR
322,Sale,4737.1,2022-09-19,USD
323,Refund,7622.71,2020-07-27,AUD
324,Payment,2922.34,2023-09-08,USD
325,Payment,2186.18,2023-05-14,GBP
326,Sale,7408.31,2021-04-03,JPY
327,Sale,5828.77,2022-09-12,EUR
328,Payment,4867.53,2020-08-16,EUR
329,Refund,6760.84,2020-04-02,GBP
330,Refund,5532.33,2020-03-10,USD
331,Refund,9143.12,2022-03-05,USD
332,Payment,4634.65,2021-10-02,JPY
333,Purchase,9822.26,2021-03-10,EUR
334,Payment,1368.55,2022-02-17,GBP
335,Sale,9612.15,2021-09-21,EUR
336,Purchase,2442.62,2020-05-24,EUR
337,Sale,2317.68,2020-12-05,EUR
338,Sale,268.03,2022-09-24,GBP
339,Refund,4365.03,2020-03-18,USD
340,Purchase,7775.01,2021-03-01,EUR
341,Refund,4208.38,2020-11-24,USD
342,Payment,8293.33,2020-10-24,AUD
343,Refund,1582.99,2024-03-18,EUR
344,Payment,2360.13,2021-01-01,AUD
345,Sale,1245.96,2023-05-16,GBP
346,Purchase,1771.18,2024-02-17,EUR
347,Refund,7465.73,2020-06-12,GBP
348,Sale,2484.38,2020-12-15,JPY
349,Sale,70.77,2023-10-18,USD
350,Payment,5659.97,2019-12-22,JPY
351,Payment,9646.16,2022-03-31,JPY
352,Sale,4792.51,2023-12-25,GBP
353,Refund,7251.72,2021-07-28,JPY
354,Payment,692.15,2020-01-08,AUD
355,Refund,7692.22,2022-10-21,JPY
356,Refund,5596.47,2023-12-06,JPY
357,Payment,2462.39,2023-07-25,GBP
358,Sale,4625.88,2022-07-05,USD
359,Payment,8394.47,2020-01-09,USD
360,Sale,650.12,2021-02-25,AUD
361,Refund,1662.39,2021-09-17,JPY
362,Payment,561.85,2022-08-29,EUR
363,Sale,1293.2,2023-06-27,GBP
364,Purchase,4591.53,2022-08-21,USD
365,Refund,6685.6,2023-10-18,USD
366,Sale,644.53,2023-08-04,EUR
367,Payment,7008.78,2020-03-04,AUD
368,Payment,725.41,2021-02-04,USD
369,Payment,584.22,2023-05-10,GBP
370,Purchase,9245.79,2022-01-05,JPY
371,Refund,1485.01,2023-02-02,GBP
372,Payment,9910.6,2019-10-05,USD
373,Sale,2694.99,2021-04-15,GBP
374,Refund,5551.82,2019-10-01,AUD
375,Refund,5938.07,2022-07-25,AUD
376,Purchase,4568.13,2022-05-08,AUD
377,Purchase,1582.8,2021-03-11,JPY
378,Payment,3016.0,2023-06-02,JPY
379,Sale,9005.66,2021-05-26,JPY
380,Payment,5666.02,2023-12-10,USD
381,Payment,3425.48,2020-12-04,JPY
382,Sale,1874.15,2023-11-18,USD
383,Refund,7016.49,2022-02-28,JPY
384,Payment,5403.24,2023-09-10,AUD
385,Sale,6704.6,2023-04-02,JPY
386,Purchase,8190.11,2023-06-05,USD
387,Payment,7789.48,2021-06-01,USD
388,Purchase,262.74,2021-10-28,AUD
389,Refund,807.26,2022-11-27,USD
390,Payment,4379.75,2019-09-08,AUD
391,Purchase,8262.03,2021-01-15,AUD
392,Refund,163.84,2024-06-03,GBP
393,Sale,4140.7,2022-12-13,GBP
394,Payment,5353.56,2023-07-12,JPY
395,Purchase,8734.82,2024-02-23,AUD
396,Purchase,4812.51,2022-09-23,USD
397,Sale,79.1,2022-08-17,AUD
398,Payment,6626.72,2023-11-11,GBP
399,Refund,8192.39,2022-08-21,AUD
400,Purchase,8325.59,2020-09-12,USD
401,Sale,5888.69,2023-08-26,GBP
402,Payment,4432.22,2022-10-05,USD
403,Sale,8852.29,2023-02-10,USD
404,Purchase,7444.41,2020-09-12,GBP
405,Sale,9703.28,2020-06-05,GBP
406,Payment,8914.64,2023-07-22,EUR
407,Sale,2651.84,2021-06-23,JPY
408,Purchase,3054.1,2020-09-12,AUD
409,Purchase,9564.5,2020-06-29,EUR
410,Sale,6896.02,2022-02-04,EUR
411,Purchase,4233.04,2022-11-22,USD
412,Payment,4518.61,2021-05-30,AUD
413,Purchase,9679.24,2020-07-03,EUR
414,Sale,4859.02,2021-12-04,USD
415,Purchase,1672.78,2020-04-09,GBP
416,Payment,1390.58,2021-10-05,GBP
417,Payment,8540.16,2022-09-20,AUD
418,Sale,5053.38,2021-03-28,AUD
419,Purchase,8676.11,2020-11-11,JPY
420,Purchase,7718.57,2023-04-17,AUD
421,Refund,2875.18,2024-07-27,AUD
422,Refund,4579.96,2020-04-22,AUD
423,Sale,2674.8,2021-07-25,EUR
424,Purchase,9117.08,2021-05-23,USD
425,Sale,444.5,2023-03-24,JPY
426,Refund,2030.98,2022-06-23,AUD
427,Purchase,9070.87,2023-07-29,JPY
428,Purchase,4312.36,2020-09-09,AUD
429,Payment,6823.68,2023-04-16,AUD
430,Purchase,7198.3,2020-09-01,AUD
431,Refund,6466.62,2023-11-23,USD
432,Sale,5262.0,2020-05-26,GBP
433,Refund,1225.45,2021-11-28,EUR
434,Refund,6365.52,2023-03-26,JPY
435,Purchase,3494.76,2020-11-27,AUD
436,Purchase,244.26,2022-02-09,GBP
437,Refund,5272.41,2021-12-13,AUD
438,Sale,6752.69,2019-08-07,GBP
439,Purchase,4241.67,2019-11-07,AUD
440,Sale,6906.42,2020-06-01,USD
441,Sale,4095.41,2019-10-03,USD
442,Sale,2764.91,2020-11-27,AUD
443,Purchase,5391.85,2020-01-01,GBP
444,Refund,1210.42,2021-01-16,AUD
445,Purchase,729.62,2020-03-04,JPY
446,Purchase,3276.44,2020-08-12,EUR
447,Refund,6960.01,2023-03-03,EUR
448,Refund,3163.02,2019-09-18,GBP
449,Payment,6220.94,2019-11-09,GBP
450,Payment,482.47,2023-07-22,GBP
451,Refund,8492.67,2019-12-29,EUR
452,Sale,238.14,2021-05-30,USD
453,Sale,5902.36,2021-05-21,EUR
454,Purchase,19.84,2023-03-14,USD
455,Purchase,8578.99,2022-03-31,USD
456,Refund,1297.94,2022-01-04,USD
457,Refund,5825.03,2020-10-30,AUD
458,Purchase,8667.16,2021-09-01,EUR
459,Sale,2449.79,2020-04-19,GBP
460,Refund,8228.22,2023-01-20,GBP
461,Payment,3184.74,2024-05-02,AUD
462,Payment,8613.8,2019-12-16,JPY
463,Refund,2013.97,2019-11-24,AUD
464,Sale,8809.56,2024-01-05,USD
465,Payment,6402.38,2022-06-30,JPY
466,Payment,5383.47,2020-10-01,AUD
467,Payment,8651.37,2021-12-09,USD
468,Payment,3935.42,2024-05-08,AUD
469,Payment,269.65,2022-08-31,AUD
470,Sale,2227.64,2023-01-26,EUR
471,Sale,9870.92,2024-01-23,GBP
472,Sale,5197.64,2022-11-27,USD
473,Refund,8735.39,2019-12-13,EUR
474,Refund,4967.88,2023-05-22,GBP
475,Purchase,8751.83,2021-11-04,JPY
476,Refund,7440.12,2020-10-06,GBP
477,Payment,9079.26,2022-10-01,AUD
478,Refund,1182.45,2022-03-03,EUR
479,Refund,1392.85,2020-12-12,EUR
480,Refund,3558.74,2023-01-02,AUD
481,Sale,1166.65,2024-07-13,JPY
482,Purchase,1037.69,2022-02-11,AUD
483,Sale,5243.26,2024-02-14,GBP
484,Refund,7266.94,2023-01-28,GBP
485,Sale,8236.66,2021-06-05,USD
486,Purchase,9405.33,2024-04-18,AUD
487,Refund,9084.52,2023-09-22,JPY
488,Purchase,4999.39,2020-10-28,USD
489,Payment,1515.99,2021-01-01,AUD
490,Purchase,3651.14,2019-12-19,EUR
491,Sale,6824.46,2022-12-08,GBP
492,Purchase,854.1,2020-10-02,EUR
493,Sale,4728.48,2022-09-29,USD
494,Purchase,3030.35,2021-04-15,GBP
495,Refund,3305.74,2019-12-22,JPY
496,Sale,3059.53,2022-03-12,JPY
497,Payment,340.3,2023-03-03,GBP
498,Purchase,5692.43,2023-08-02,JPY
499,Purchase,6589.48,2024-01-29,EUR
500,Refund,2258.83,2023-07-24,AUD
501,Payment,7183.05,2024-04-20,JPY
502,Sale,1688.49,2021-12-29,JPY
503,Payment,7547.96,2020-06-28,AUD
504,Sale,6945.75,2023-06-14,GBP
505,Payment,2576.82,2021-02-08,AUD
506,Refund,3835.1,2021-02-09,GBP
507,Payment,4387.55,2021-11-01,GBP
508,Payment,8536.94,2021-11-09,AUD
509,Purchase,2004.13,2020-08-14,AUD
510,Payment,7527.39,2023-02-22,GBP
511,Refund,6675.48,2021-11-12,EUR
512,Refund,2179.02,2023-07-08,AUD
513,Payment,2585.19,2023-06-04,JPY
514,Purchase,3707.4,2020-08-07,GBP
515,Refund,4671.03,2023-04-11,GBP
516,Refund,587.9,2023-05-05,USD
517,Purchase,3487.31,2024-01-08,USD
518,Payment,8466.81,2023-09-27,AUD
519,Sale,9237.36,2020-04-18,JPY
520,Sale,7859.36,2021-09-28,EUR
521,Sale,3655.72,2021-11-07,USD
522,Sale,438.82,2023-04-27,JPY
523,Purchase,4891.82,2022-09-17,GBP
524,Refund,2740.87,2020-01-17,USD
525,Refund,8155.78,2019-10-25,USD
526,Payment,1531.05,2023-08-17,USD
527,Payment,8816.48,2020-06-19,GBP
528,Payment,2466.78,2021-02-18,JPY
529,Payment,1449.37,2024-01-05,JPY
530,Purchase,3700.6,2023-06-29,USD
531,Refund,3345.85,2020-11-09,AUD
532,Purchase,1216.65,2020-05-19,AUD
533,Payment,2467.22,2022-08-15,JPY
534,Sale,8911.81,2020-04-08,USD
535,Payment,6564.12,2020-08-15,AUD
536,Purchase,1545.16,2023-10-26,USD
537,Refund,4480.09,2024-06-17,USD
538,Refund,9073.83,2021-03-02,JPY
539,Purchase,7283.22,2022-06-07,JPY
540,Sale,8246.42,2024-06-14,USD
541,Refund,7141.26,2024-02-25,EUR
542,Payment,8118.03,2022-02-16,JPY
543,Refund,1695.66,2019-08-09,USD
544,Refund,2432.08,2022-01-08,USD
545,Refund,5502.11,2020-06-06,USD
546,Sale,3836.8,2021-06-30,AUD
547,Purchase,6769.22,2022-07-24,GBP
548,Sale,9976.23,2022-05-09,JPY
549,Payment,5643.63,2019-09-25,USD
550,Payment,9373.53,2020-02-18,USD
551,Refund,6418.71,2019-10-24,JPY
552,Sale,3120.12,2022-11-08,USD
553,Sale,6346.45,2020-09-05,EUR
554,Purchase,8314.91,2022-06-08,GBP
555,Purchase,6055.05,2020-09-09,USD
556,Refund,5919.89,2021-06-08,AUD
557,Sale,9372.11,2020-01-18,JPY
558,Refund,9026.06,2020-04-18,USD
559,Payment,1553.94,2019-08-28,JPY
560,Sale,2543.65,2020-01-01,EUR
561,Payment,1823.42,2020-05-16,EUR
562,Payment,2683.61,2021-03-16,EUR
563,Purchase,912.16,2022-09-30,GBP
564,Purchase,8350.44,2023-08-08,GBP
565,Payment,9638.83,2022-10-19,EUR
566,Sale,2790.61,2020-01-20,EUR
567,Purchase,3369.15,2024-02-14,EUR
568,Sale,2110.7,2022-02-15,JPY
569,Payment,8036.24,2022-10-12,GBP
570,Sale,5972.46,2024-04-22,AUD
571,Purchase,7514.0,2023-06-13,AUD
572,Refund,8939.68,2021-07-13,AUD
573,Sale,3992.23,2022-12-22,JPY
574,Payment,5444.89,2022-08-03,USD
575,Purchase,2253.52,2021-10-18,EUR
576,Sale,4248.23,2023-05-13,USD
577,Purchase,5768.94,2020-07-10,GBP
578,Refund,6250.24,2020-10-28,EUR
579,Sale,9416.38,2020-09-23,USD
580,Sale,1805.05,2022-06-21,GBP
581,Purchase,7296.98,2021-02-27,JPY
582,Payment,7944.92,2023-06-16,AUD
583,Sale,938.01,2021-10-18,GBP
584,Purchase,1370.96,2021-02-13,JPY
585,Refund,4631.25,2020-01-12,GBP
586,Payment,3227.94,2022-10-17,USD
587,Purchase,6879.32,2019-10-01,JPY
588,Payment,5115.36,2023-01-11,GBP
589,Purchase,1688.0,2020-09-01,GBP
590,Sale,2412.99,2023-11-19,EUR
591,Payment,2477.14,2021-03-03,EUR
592,Payment,5592.6,2019-11-07,EUR
593,Refund,7608.43,2023-01-28,USD
594,Refund,9836.96,2019-12-21,GBP
595,Refund,6516.53,2019-09-12,USD
596,Refund,4352.63,2020-10-15,JPY
597,Purchase,6948.73,2023-10-10,USD
598,Purchase,5907.73,2022-05-30,EUR
599,Sale,9242.19,2023-05-10,AUD
600,Sale,8042.0,2023-06-08,JPY
601,Refund,1158.94,2020-06-12,EUR
602,Sale,5101.86,2022-02-26,EUR
603,Payment,2993.93,2022-07-05,AUD
604,Refund,7159.97,2023-05-22,USD
605,Payment,6442.12,2023-09-18,JPY
606,Refund,4748.95,2022-03-07,GBP
607,Payment,7087.99,2023-04-22,EUR
608,Refund,7558.67,2022-08-25,AUD
609,Payment,2132.51,2021-09-16,JPY
610,Payment,5534.53,2021-06-25,EUR
611,Purchase,3473.89,2021-09-12,AUD
612,Purchase,9980.76,2019-09-18,USD
613,Sale,9382.79,2023-09-26,USD
614,Refund,8304.87,2021-02-27,USD
615,Payment,9496.58,2023-09-11,EUR
616,Purchase,4189.75,2021-07-14,AUD
617,Refund,7369.48,2021-01-29,JPY
618,Purchase,1159.87,2022-11-22,GBP
619,Payment,5040.56,2020-10-05,JPY
620,Purchase,418.09,2020-09-16,AUD
621,Refund,1264.67,2020-04-17,GBP
622,Payment,589.89,2021-09-25,JPY
623,Payment,1057.12,2021-12-26,AUD
624,Sale,4114.78,2023-05-02,EUR
625,Refund,6272.44,2021-12-02,GBP
626,Payment,6202.76,2024-02-11,USD
627,Payment,5654.95,2021-12-16,JPY
628,Purchase,6086.59,2021-01-22,GBP
629,Refund,5057.58,2019-11-19,JPY
630,Payment,6350.21,2024-06-24,JPY
631,Payment,5311.23,2020-07-29,AUD
632,Refund,2863.84,2020-12-14,EUR
633,Refund,424.9,2022-08-03,JPY
634,Refund,654.32,2023-09-28,GBP
635,Refund,851.54,2020-10-07,GBP
636,Payment,6423.05,2020-08-02,EUR
637,Sale,4411.25,2021-04-20,EUR
